species,lifeform,CSP01,CSP02,CSP03,CSP04,CSP05,CSP06,CSP07,CSP08,CSP09,CSP10,CSP11,CSP12,CSP13,CSP14,CSP15,CSP16,CSP17,CSP18,CSP19,CSP20,CSP21,CSP22,CSP23,CSP24,CSP25,CSP26,CSP27
Eurya rubiginosa,2,1,0,0,0,0,25,0,0,0,0,2,0,0,0,0,10,1,0,2,0,0,0,0,0,0,2,0
Euscaphis japonica,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0
Evodia fargesii,2,0,0,0,0,0,0,1,0,0,0,6,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8
Ficus pumila,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fraxinus insularis,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galium trachyspermum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Gardenia jasminoides,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,1,0
Glochidion puberum,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12,50,0,0,0,0,1,0,0
Goodyera schlechtendaliana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Hedyotis chrysotricha,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Huperzia serrata,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,0,0,0,0,0,0,0
Hydrangea chinensis,2,0,1,45,0,0,4,2,1,2,0,0,0,0,0,1,0,0,0,52,2,0,2,0,0,0,18,0
Ilex buergeri,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ilex elmerrilliana,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,12,0
Ilex latifolia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Ilex litseifolia,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
Ilex pubescens,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,8,14,0,0,0,1,0,1,0,0,19,0
Ilex purpurea,2,0,0,5,0,3,0,0,0,2,0,1,0,2,5,1,0,0,3,0,1,0,0,0,4,0,0,0
Ilex rotunda,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ilex suaveolens,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ilex triflora,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indocalamus latifolius,1,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itea chinensis,2,1,0,0,8,0,0,0,15,30,5,4,1,0,0,3,0,0,0,0,0,19,0,0,298,0,26,0
Kadsura longipedunculata,3a,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Laurocerasus spinulosa,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Lespedeza formosa,2,2,0,0,0,6,0,0,0,0,0,0,0,2,0,0,37,15,0,212,4,0,39,0,32,9,0,0
Lindera aggregata,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,15,0
Lindera glauca,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0
Lindera reflexa,2,2,0,28,0,0,0,27,6,5,0,2,29,10,6,2,1,1,2,14,29,5,6,1,2,2,2,3
Liriope muscari,1,0,4,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,2,0,0,1,0,0,0,0,0,0
Lithocarpus glaber,2,6,0,3,0,4,0,1,23,5,0,0,3,11,2,2,0,33,35,0,0,19,0,57,21,20,87,0
Lithocarpus harlandii,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0
Litsea coreana,2,1,0,0,0,0,1,7,8,5,0,0,1,0,4,0,0,0,5,0,1,0,0,3,0,1,2,3
Litsea cubeba,2,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Litsea elongata,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0
Lonicera japonica,3a,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lophatherum gracile,1,1,0,0,0,0,0,0,1,0,0,0,0,2,4,0,2,2,2,0,0,4,0,6,0,0,0,0
Loropetalum chinense,2,2,4,0,1,10,0,0,0,1,0,0,0,5,0,0,63,63,0,0,114,0,116,8,30,10,4,0
Lyonia ovalifolia,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Lysimachia clethroides,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Lysimachia congestiflora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Machilus grijsii,2,1,0,0,5,0,0,0,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
Machilus thunbergii,2,0,3,0,5,1,0,5,27,25,0,12,0,1,5,1,0,1,0,0,0,4,0,0,0,0,1,0
Maclura cochinchinensis,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Maesa japonica,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Magnolia cylindrica,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahonia bealei,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mallotus japonicus,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
Malus leiocalyca,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Manglietia fordiana,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3
Meliosma oldhamii,2,0,0,3,0,0,0,2,0,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,14
Microstegium vimineum,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Millettia dielsiana,3a,0,0,0,5,0,0,1,5,9,0,0,0,0,0,0,2,0,2,0,0,6,0,6,0,0,31,11
Miscanthus spec.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
Morinda umbellata,3a,0,1,0,0,0,0,1,0,25,5,0,0,2,0,0,10,19,1,0,0,0,0,1,3,2,4,0
Mosla scabra,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1
Myrica rubra,2,2,2,0,1,0,0,0,0,1,2,1,3,6,7,0,0,0,0,0,1,0,0,14,1,5,0,0
Neolitsea aurata,2,1,0,0,8,0,21,5,2,0,2,0,5,3,2,6,0,0,0,0,0,0,0,3,0,0,0,1
Neyraudia montana,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0
Ophiopogon japonicus,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Ophiorrhiza japonica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Oplismenus undulatifolius,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osmanthus cooperi,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osmunda japonica,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Paederia scandens,3b,2,0,2,0,1,4,23,0,2,0,0,0,0,0,2,7,3,0,7,3,2,0,2,0,0,0,1
Parathelypteris glandulifera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,56,0,0,0,0,0
Parthenocissus heterophylla,3a,0,15,0,1,0,0,0,0,0,0,0,5,1,3,1,0,0,0,1,0,7,0,0,0,0,0,1
Parthenocissus tricuspidata,3a,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pertusadina metcalfii,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
