Species,Individual,Indiv_Sample,Family,Genus,Leaf toughness,Phenolics,Tannin
Castanopsis eyrei,CSP9-Cas eyr-369634,5,Fagaceae,Castanopsis,0.862972,108.0207997,160.9220419
Castanopsis eyrei,Site A-Cas eyr-F28-1811,4,Fagaceae,Castanopsis,1.019876,113.5822236,186.537437
Castanopsis eyrei,Site B-Cas eyr-M20-0310,10,Fagaceae,Castanopsis,1.00516625,85.38526379,205.6138685
Castanopsis eyrei,Site B-Cas eyr-J24-0001,5,Fagaceae,Castanopsis,0.7354875,95.83367165,222.1115605
Castanopsis eyrei,Site B-Cas eyr-J24-0001,6,Fagaceae,Castanopsis,0.9120045,102.0435944,140.1599249
Castanopsis eyrei,CSP9-Cas eyr-369634,3,Fagaceae,Castanopsis,0.7943265,106.0631697,200.0326431
Castanopsis eyrei,Site B-Cas eyr-M20-0310,2,Fagaceae,Castanopsis,0.90710125,78.47495155,161.7049529
Castanopsis eyrei,CSP16-Cas eyr-370121,5,Fagaceae,Castanopsis,1.2846515,133.6937576,330.7927669
Castanopsis eyrei,CSP9-Cas eyr-369634,2,Fagaceae,Castanopsis,0.78452,89.05971874,221.0167189
Castanopsis eyrei,CSP16-Cas eyr-370121,6,Fagaceae,Castanopsis,1.37291,135.7397214,337.6445359
Castanopsis eyrei,Site B-Cas eyr-J24-0001,7,Fagaceae,Castanopsis,0.902198,99.28289005,82.22854108
Castanopsis eyrei,CSP9-Cas eyr-369634,6,Fagaceae,Castanopsis,0.804133,97.80465289,177.9223937
Castanopsis eyrei,Site B-Cas eyr-M20-0310,3,Fagaceae,Castanopsis,0.882585,102.8532382,189.9385936
Castanopsis eyrei,Site B-Cas eyr-J24-0001,4,Fagaceae,Castanopsis,0.8335525,120.1517163,167.0750084
Castanopsis eyrei,CSP16-Cas eyr-370121,7,Fagaceae,Castanopsis,1.431749,107.454272,310.9563662
Castanopsis eyrei,Site A-Cas eyr-F28-1811,1,Fagaceae,Castanopsis,0.9512305,134.4348337,277.0676084
Castanopsis eyrei,Site A-Cas eyr-P27-1709,7,Fagaceae,Castanopsis,0.647229,142.1893193,170.9884781
Castanopsis eyrei,Site B-Cas eyr-J24-0910,2,Fagaceae,Castanopsis,0.725681,91.7092535,217.108969
Castanopsis eyrei,Site B-Cas eyr-M20-0310,4,Fagaceae,Castanopsis,0.76000375,87.9269729,153.3178781
Castanopsis eyrei,Site B-Cas eyr-M20-0310,5,Fagaceae,Castanopsis,1.05419875,101.6338786,66.71625599
Castanopsis eyrei,Site A-Cas eyr-P27-1709,5,Fagaceae,Castanopsis,0.862972,117.455837,73.57784998
Castanopsis eyrei,Site A-Cas eyr-P27-1709,6,Fagaceae,Castanopsis,0.823746,155.7101787,138.6506416
Castanopsis eyrei,CSP9-Cas eyr-369634,1,Fagaceae,Castanopsis,0.764907,120.4934411,317.6521714
Castanopsis eyrei,CSP9-Cas eyr-369634,7,Fagaceae,Castanopsis,0.666842,92.24246599,159.061015
Castanopsis eyrei,Site B-Cas eyr-M20-0310,8,Fagaceae,Castanopsis,0.78452,103.9280276,151.555522
Castanopsis eyrei,Site B-Cas eyr-M20-0310,6,Fagaceae,Castanopsis,0.80903625,84.53576263,121.4517057
Castanopsis eyrei,Site B-Cas eyr-M20-0310,7,Fagaceae,Castanopsis,0.76000375,97.94960386,74.92250422
Castanopsis eyrei,Site B-Cas eyr-J24-0001,3,Fagaceae,Castanopsis,0.686455,113.0134377,166.4356591
Castanopsis eyrei,Site B-Cas eyr-J24-0910,7,Fagaceae,Castanopsis,0.78452,117.6814168,225.5459563
Castanopsis eyrei,Site B-Cas eyr-J24-0910,3,Fagaceae,Castanopsis,0.725681,89.37114836,167.6154223
Castanopsis eyrei,Site B-Cas eyr-J24-0910,6,Fagaceae,Castanopsis,0.509938,100.4432056,205.7291127
Castanopsis eyrei,Site B-Cas eyr-J24-0910,5,Fagaceae,Castanopsis,0.5197445,105.8906954,140.8624098
Castanopsis eyrei,Site B-Cas eyr-J24-0001,2,Fagaceae,Castanopsis,1.490588,113.4342235,176.5257984
Castanopsis eyrei,Site B-Cas eyr-J24-0001,1,Fagaceae,Castanopsis,1.019876,96.43650287,153.4013161
Castanopsis eyrei,Site B-Cas eyr-J24-0910,4,Fagaceae,Castanopsis,0.7158745,70.92096057,90.07676116
Castanopsis fargesii,CSP8-Cas far-371190,4,Fagaceae,Castanopsis,0.78452,122.9446539,262.0369917
Castanopsis fargesii,CSP8-Cas far-371190,3,Fagaceae,Castanopsis,0.627616,122.2684353,103.5098435
Castanopsis fargesii,Site B-Cas far-S29-0315,2,Fagaceae,Castanopsis,0.469894792,100.674318,166.7473626
Castanopsis fargesii,Site B-Cas far-S29-1002,7,Fagaceae,Castanopsis,0.531185417,121.1815763,321.1556439
Castanopsis fargesii,Site B-Cas far-S29-0315,1,Fagaceae,Castanopsis,0.429034375,126.3537129,296.0925644
Castanopsis fargesii,Site B-Cas far-S29-0315,6,Fagaceae,Castanopsis,0.469894792,132.5562811,166.020372
Castanopsis fargesii,Site B-Cas far-S29-1002,6,Fagaceae,Castanopsis,0.459679688,124.4618284,291.5944827
Castanopsis fargesii,Site B-Cas far-S29-0315,7,Fagaceae,Castanopsis,0.653766667,104.4482902,162.1615424
Castanopsis fargesii,Site B-Cas far-S29-0315,4,Fagaceae,Castanopsis,0.582260938,110.9953574,169.2650726
Castanopsis fargesii,Site B-Cas far-S29-0315,3,Fagaceae,Castanopsis,0.551615625,113.957602,263.492858
Castanopsis fargesii,Site B-Cas far-S29-0315,5,Fagaceae,Castanopsis,0.490325,103.9782381,113.5251733
Castanopsis fargesii,CSP8-Cas far-371190,1,Fagaceae,Castanopsis,0.862972,105.9500465,144.9218775
Castanopsis fargesii,Site B-Cas far-I22-1616,1,Fagaceae,Castanopsis,0.451099,126.5882489,150.0276083
Castanopsis fargesii,Site B-Cas far-S29-1002,1,Fagaceae,Castanopsis,0.551615625,134.1956047,200.326001
Castanopsis fargesii,Site B-Cas far-I22-1616,7,Fagaceae,Castanopsis,0.4216795,100.5807194,166.1916036
Castanopsis fargesii,Site B-Cas far-I22-1616,2,Fagaceae,Castanopsis,0.39226,104.2463265,292.6402384
Castanopsis fargesii,CSP8-Cas far-371190,2,Fagaceae,Castanopsis,0.8335525,123.494417,200.2877452
Castanopsis fargesii,CSP8-Cas far-371190,5,Fagaceae,Castanopsis,0.764907,146.2798988,228.3903493
Castanopsis fargesii,Site B-Cas far-S29-1002,5,Fagaceae,Castanopsis,0.490325,117.1742934,228.5312269
Castanopsis fargesii,Site B-Cas far-S29-1002,2,Fagaceae,Castanopsis,0.653766667,116.7293196,139.2371137
Castanopsis fargesii,CSP8-Cas far-371190,7,Fagaceae,Castanopsis,0.6766485,113.4173803,220.0801316
Castanopsis fargesii,Site B-Cas far-S29-1002,3,Fagaceae,Castanopsis,0.61290625,120.3500094,251.3293234
Castanopsis fargesii,CSP8-Cas far-371190,6,Fagaceae,Castanopsis,0.8335525,123.5294763,211.4636906
Castanopsis fargesii,Site B-Cas far-I22-1616,6,Fagaceae,Castanopsis,0.411873,134.099334,158.21651
Castanopsis fargesii,Site B-Cas far-I22-1616,4,Fagaceae,Castanopsis,0.411873,122.1747873,250.2893437
Castanopsis fargesii,Site B-Cas far-I22-1616,3,Fagaceae,Castanopsis,0.3824535,95.78467216,174.5259219
Castanopsis fargesii,Site B-Cas far-S29-1002,4,Fagaceae,Castanopsis,0.61290625,89.68175348,134.0946841
Castanopsis fargesii,Site B-Cas far-I22-1616,5,Fagaceae,Castanopsis,0.470712,90.30139488,233.1867609
Castanopsis sclerophylla,Site A-Cas scl-L21-1018,7,Fagaceae,Castanopsis,0.764907,84.17751692,222.8171602
Castanopsis sclerophylla,CSP8-Cas scl-371915,1,Fagaceae,Castanopsis,0.902198,111.6910174,209.0528787
Castanopsis sclerophylla,CSP8-Cas scl-371915,5,Fagaceae,Castanopsis,1.0492955,68.69393941,71.34688268
Castanopsis sclerophylla,CSP8-Cas scl-371915,3,Fagaceae,Castanopsis,0.862972,97.21279893,172.047768
Castanopsis sclerophylla,CSP8-Cas scl-371915,2,Fagaceae,Castanopsis,1.019876,115.4501708,116.9625383
Castanopsis sclerophylla,CSP8-Cas scl-371915,6,Fagaceae,Castanopsis,0.961037,77.78441795,94.32430099
Castanopsis sclerophylla,Site A-Cas scl-L21-1018,6,Fagaceae,Castanopsis,0.882585,95.44232879,190.3324123
Castanopsis sclerophylla,Site A-Cas scl-L21-1018,2,Fagaceae,Castanopsis,0.686455,103.8552503,243.6072151
Castanopsis sclerophylla,Site A-Cas scl-G27-1915,4,Fagaceae,Castanopsis,0.882585,132.3177833,368.454833
Castanopsis sclerophylla,Site A-Cas scl-L21-1018,4,Fagaceae,Castanopsis,0.902198,90.03749862,192.3149376
Castanopsis sclerophylla,CSP8-Cas scl-371915,4,Fagaceae,Castanopsis,0.98065,110.0020463,291.271175
Castanopsis sclerophylla,Site A-Cas scl-G27-1915,3,Fagaceae,Castanopsis,0.882585,96.20563937,259.7423856
Castanopsis sclerophylla,Site A-Cas scl-L21-1018,3,Fagaceae,Castanopsis,0.823746,84.07164582,195.6173051
Castanopsis sclerophylla,Site A-Cas scl-L21-1018,1,Fagaceae,Castanopsis,0.804133,89.65347688,143.8568723
Castanopsis sclerophylla,Site A-Cas scl-G27-1915,5,Fagaceae,Castanopsis,0.8727785,117.5232565,155.4844913
Castanopsis sclerophylla,Site A-Cas scl-G27-1915,1,Fagaceae,Castanopsis,0.921811,107.7340811,205.4082782
Castanopsis sclerophylla,Site A-Cas scl-L21-1018,5,Fagaceae,Castanopsis,0.98065,98.80437605,145.332025
Castanopsis sclerophylla,Site A-Cas scl-G27-1915,2,Fagaceae,Castanopsis,0.941424,115.0033897,276.1885985
Castanopsis sclerophylla,Site A-Cas scl-G27-1915,7,Fagaceae,Castanopsis,0.9120045,112.1457815,150.5588659
Castanopsis sclerophylla,Site A-Cas scl-G27-1915,6,Fagaceae,Castanopsis,0.9316175,114.0465839,248.636708
Celtis biondii,Site B-Cel bio-S8-0610,4,Ulmaceae,Celtis,0.137291,99.04247873,235.9446056
Celtis biondii,Site B-Cel bio-S8-0610,3,Ulmaceae,Celtis,0.1470975,91.80745715,55.40778003
Celtis biondii,Site B-Cel bio-S8-0610,1,Ulmaceae,Celtis,0.156904,88.37763317,37.69990129
Celtis biondii,Site B-Cel bio-I29-0214,3,Ulmaceae,Celtis,0.137291,102.8962073,149.7971734
Celtis biondii,Site B-Cel bio-I29-0214,6,Ulmaceae,Celtis,0.1863235,107.6051881,163.5490528
Celtis biondii,Site B-Cel bio-I29-0214,1,Ulmaceae,Celtis,0.19613,99.78705893,69.57965366
Celtis biondii,Site B-Cel bio-I29-0214,2,Ulmaceae,Celtis,0.19613,113.1073865,77.65813874
Celtis biondii,Site B-Cel bio-I29-0214,5,Ulmaceae,Celtis,0.1863235,86.15899067,197.498244
Celtis biondii,Site B-Cel bio-S8-0610,6,Ulmaceae,Celtis,0.156904,110.5580149,170.3981154
Celtis biondii,Site B-Cel bio-I29-0214,7,Ulmaceae,Celtis,0.176517,98.51856173,183.8708654
Celtis biondii,Site B-Cel bio-P7-1304,1,Ulmaceae,Celtis,0.176517,88.03157489,155.716916
Celtis biondii,Site B-Cel bio-P7-1304,6,Ulmaceae,Celtis,0.215743,75.10477919,171.261427
Celtis biondii,Site B-Cel bio-P7-1304,7,Ulmaceae,Celtis,0.1863235,98.6109224,136.137397
Celtis biondii,Site B-Cel bio-S8-0610,7,Ulmaceae,Celtis,0.1863235,101.3089394,113.3750355
Celtis biondii,Site B-Cel bio-P7-1304,5,Ulmaceae,Celtis,0.156904,100.054157,105.1880169
Celtis biondii,Site B-Cel bio-S8-0610,2,Ulmaceae,Celtis,0.1863235,98.80707491,251.7310749
Celtis biondii,Site B-Cel bio-S8-0610,5,Ulmaceae,Celtis,0.176517,137.9593067,192.9203942
Celtis biondii,Site B-Cel bio-P7-1304,3,Ulmaceae,Celtis,0.137291,105.3471105,259.3739727
Celtis biondii,Site B-Cel bio-P7-1304,4,Ulmaceae,Celtis,0.1667105,92.6886371,118.2205981
Celtis biondii,Site B-Cel bio-I29-0214,4,Ulmaceae,Celtis,0.176517,91.92785263,27.26469266
Celtis biondii,Site B-Cel bio-P7-1304,2,Ulmaceae,Celtis,0.19613,85.11828072,187.3338493
Choerospondias axillaris,Site A-Cho axi-F27-1701,1,Anacardiaceae,Choerospondias,0.10296825,92.77195817,148.0913408
Choerospondias axillaris,Site A-Cho axi-N20-1911,3,Anacardiaceae,Choerospondias,0.1470975,88.09889982,129.0130201
Choerospondias axillaris,Site A-Cho axi-N20-1911,4,Anacardiaceae,Choerospondias,0.1274845,81.36636596,96.92386963
Choerospondias axillaris,Site A-Cho axi-F27-1701,3,Anacardiaceae,Choerospondias,0.1078715,119.0218988,223.0761556
Choerospondias axillaris,Site A-Cho axi-N20-1911,6,Anacardiaceae,Choerospondias,0.1274845,94.28011403,89.05698766
