county,name_of_the_aquaculture_production_business_farm,address_or_location_of_the_farm,column_d,longitude_decimal_degrees,latitude_decimal_degrees,no_susceptible_or_vector_species_present,susceptible_species_present,vector_species_present,no_susceptible_or_vector_species_present_2,susceptible_species_present_2,vector_species_present_2,no_susceptible_or_vector_species_present_3,susceptible_species_present_3,vector_species_present_3,no_susceptible_or_vector_species_present_4,susceptible_species_present_4,vector_species_present_4,declared_disease_free,under_surveillance_programme,not_known_to_be_infected,other,declared_disease_free_2,under_surveillance_programme_2,not_known_to_be_infected_2,other_2,declared_disease_free_3,under_surveillance_programme_3,not_known_to_be_infected_3,other_3,declared_disease_free_4,under_surveillance_programme_4,not_known_to_be_infected_4,other_4,declared_disease_free_5,under_surveillance_programme_5,not_known_to_be_infected_5,other_5,declared_disease_free_6,under_surveillance_programme_6,not_known_to_be_infected_6,other_6,declared_disease_free_7,under_surveillance_programme_7,not_known_to_be_infected_7,other_7,declared_disease_free_8,under_surveillance_programme_8,not_known_to_be_infected_8,other_8,saltwater_cages_enclosures_pens,saltwater_ponds,saltwater_tanks_raceways,saltwater_closed_recirculation,freshwater_cages_enclosures_pens,freshwater_ponds,freshwater_tanks_raceways,freshwater_closed_recirculation,research_facility,quarantine_facility,other_9,hatchery,nursery,brood_stock,grow_out_for_human_consumption,put_take_fisheries,other_10
Donegal,Marine Harvest Ireland Ltd.,"Creevin, Inver Bay, Co. Donegal",573- FHA,-8.297167,54.623444,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Delphi Fishery Ltd,"Delphi, Leenane, Co. Galway ",057 - FHA,-9.74700,53.63222,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,,a,,,,,a,,a,,,a
Galway,Derrylea Holdings Ltd.,"Lough Fee, Letteretterin, Renvyle, Co. Galway ",059 - FHA,-9.83500,53.59096,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,a,,,,,,,,a,,,,a
Galway,Galway Atlantaquaria,"Galway Atlantaquaria, Salthill, Co. Galway",060 - FHA,-9.07394,53.26004,,a,a,,a,a,,a,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,a,,,,a,,a,,,,,,,a
Galway,Mannin Bay Salmon Co. Ltd,"Hawks Nest, Clifden Bay, Clifden, Co. Galway",063 - FHA,-10.06833,53.48500,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Mannin Bay Salmon Co. Ltd,"Curhownagh, Mannin Bay, Clifden, Co. Galway",064 - FHA,-10.08469,53.46578,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Mannin Bay Salmon Co. Ltd,"Freaghillaun, Ballinakill Bay, Clifden, Co. Galway",065 - FHA,-10.03460,53.57654,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Mannin Bay Salmon Co. Ltd,"Ballinakill Inner, Ballinakill Bay, Clifden, Co. Galway ",066 - FHA,-10.00100,53.56500,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Mannin Bay Salmon Co. Ltd,"Ardbear, Ardbear Bay, Clifden, Co. Galway",067 - FHA,-10.04833,53.47667,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Mannin Bay Salmon Co. Ltd,"Lake Beaghcauneen, Ballinaboy, Clifden, Co.Galway",068 - FHA,-9.98843,53.45727,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,a,,,,,,,,a,,,,
Galway,Mannin Bay Salmon Co. Ltd,"Letterard, Bertraghboy Bay, Carna, Co. Galway",069 - FHA,-9.86333,53.37500,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Bradan Beo Teoranta,"Oileain Iarthach, Lettercallow Pier, Lettermore, Co Galway ",583 - FHA,-9.73810,53.28695,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Bradan Beo Teoranta,"Knock, Cill Chiarian Bay, Co. Galway",584 - FHA,-9.71101,53.27038,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Bradan Beo Teoranta,"Ardmore,Kilkieran, Co.Galway",587- FHA,-9.78146,53.28006,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Bradan Beo Teoranta,"Golam, Lettermullen, Co. Galway",585 - FHA,-9.75931,53.23720,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Bradan Beo Teoranta,"Cuigeal, Lettermullen, Co. Galway",586- FHA,-9.70730,53.22897,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Bradan Beo Teoranta,"Bir Beg, Ardmore, Kilkieran, Co.Galway",588 - FHA,-9.76637,53.29956,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Bradan Beo Teoranta,"Na Meachain, Lettermullen, Co. Galway",589 - FHA,-9.83088,53.23966,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,Bradan Beo Teoranta,"Dinish, Lettermullen, Co. Galway",556 - FHA,-9.74331,53.26755,a,,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,a,,,,,,,,,,,,,,a,,
Galway,"MRI Carna, National University of Ireland, Galway ","Marine Research Institute, Carna, Co. Galway",084 - FHA,-9.83826,53.30634,,a,,a,,,a,,,a,,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,a,a,,,a,a,a,a,,a,a,a,,,
Galway,Raford Fish Farm,"Raford Fish Farms Kiltulla, Athenry, Co. Galway",086 - FHA,-8.58496,53.28381,,a,,,a,,a,,,,a,,a,,,,a,,,,a,,,,a,,,,,,,,a,,,,a,,,,,,,,,,,,,,,,,,,,,,,,
