plot_number,PTAG,sample_num,lab_num,depth_lb,pH_H2O,pH_KCl,N_t,C_t,S_t,C_N
M4,p113040,EXPA-S-M4-2,5191,10,4.26,3.37,0.2284412980079651,4.433554172515869,< 0.05,19.407848804821988
M4,p113040,EXPA-S-M4-3,5192,20,4.38,3.52,0.15961839258670807,2.482494354248047,< 0.05,15.552683585004177
M4,p113040,EXPA-S-M4-4,5193,30,4.32,3.42,0.10203041136264801,1.1858400106430054,< 0.05,11.622417226449857
M4,p113040,EXPA-S-M4-5,5194,40,4.43,3.41,0.09149692952632904,0.6503889560699463,< 0.05,7.108314556968725
M4,p113040,EXPA-S-M4-6,5195,50,4.59,3.45,0.08883722871541977,0.52220618724823,< 0.05,5.878235901764334
L10,p112100,EXPA-S-L10-1,5196,5,5.16,3.95,0.26403138041496277,3.846309185028076,< 0.05,14.56762139024178
L10,p112100,EXPA-S-L10-2,5197,10,5.08,3.85,0.20580029487609863,2.5716328620910645,< 0.05,12.495768597607245
L10,p112100,EXPA-S-L10-3,5198,20,4.91,3.81,0.1743192821741104,1.941987156867981,< 0.05,11.140403589594413
L10,p112100,EXPA-S-L10-4,5199,30,4.79,3.72,0.13355207443237305,1.2799421548843384,< 0.05,9.583843308495103
L10,p112100,EXPA-S-L10-5,5200,40,4.8,3.74,0.1084107756614685,0.7373752593994141,< 0.05,6.80167866063422
L10,p112100,EXPA-S-L10-6,5201,50,4.92,3.73,0.0859423503279686,0.5260582566261292,< 0.05,6.121059694302213
M7,p113070,EXPA-S-M7-1,5202,5,4.78,3.64,0.2413381040096283,3.9894306659698486,< 0.05,16.530463278234294
M7,p113070,EXPA-S-M7-2,5203,10,4.68,3.65,0.18001554906368256,2.5595264434814453,< 0.05,14.218363118043673
M7,p113070,EXPA-S-M7-3,5204,20,4.67,3.67,0.14054568111896515,1.6675186157226562,< 0.05,11.864602330335446
M7,p113070,EXPA-S-M7-4,5205,30,4.74,3.65,0.10082142800092697,0.9606792330741882,< 0.05,9.52852237983929
M7,p113070,EXPA-S-M7-5,5206,40,4.96,3.74,0.08624304831027985,0.6402084827423096,< 0.05,7.4233053595115
M7,p113070,EXPA-S-M7-6,5207,50,4.94,3.8,0.07669421285390854,0.45832493901252747,< 0.05,5.9760042114986
O18,p115180,EXPA-S-O18-1,5208,5,4.44,3.75,0.2932891845703125,4.4760823249816895,< 0.05,15.261668552624734
O18,p115180,EXPA-S-O18-2,5209,10,4.69,3.78,0.22443357110023499,3.3925065994262695,< 0.05,15.115860710121355
O18,p115180,EXPA-S-O18-3,5210,20,4.61,3.77,0.16269850730895996,2.3996129035949707,< 0.05,14.748831708936162
O18,p115180,EXPA-S-O18-4,5211,30,4.64,3.78,0.11003496497869492,1.3943527936935425,< 0.05,12.671906552281072
O18,p115180,EXPA-S-O18-5,5212,40,4.7,3.83,0.08497288823127747,0.8820551633834839,< 0.05,10.38043053194478
O18,p115180,EXPA-S-O18-6,5213,50,4.98,3.9,0.07321896404027939,0.5507447719573975,< 0.05,7.521886975270784
L18,p112180,EXPA-S-L18-1,5214,5,4.6,3.86,0.2969900071620941,4.308636665344238,< 0.05,14.507682283709393
L18,p112180,EXPA-S-L18-2,5215,10,4.5,3.82,0.23194816708564758,3.246507167816162,< 0.05,13.996692487840955
L18,p112180,EXPA-S-L18-3,5216,20,4.37,3.78,0.14525359869003296,1.7962501049041748,< 0.05,12.366303631053723
L18,p112180,EXPA-S-L18-4,5217,30,4.36,3.78,0.10464335978031158,1.132516860961914,< 0.05,10.822634740890598
L18,p112180,EXPA-S-L18-5,5218,40,4.49,3.81,0.07796367257833481,0.619120180606842,< 0.05,7.941136687535783
L18,p112180,EXPA-S-L18-6,5219,50,4.59,3.86,0.07467735558748245,0.44035348296165466,< 0.05,5.896747139710816
O24,p115240,EXPA-S-O24-1,5220,5,4.71,3.89,0.25972649455070496,3.7729640007019043,< 0.05,14.526681258408658
O24,p115240,EXPA-S-O24-2,5221,10,4.75,3.92,0.24775530397891998,3.442237377166748,< 0.05,13.893698023351408
O24,p115240,EXPA-S-O24-3,5222,20,4.7,3.94,0.16680260002613068,2.1137266159057617,< 0.05,12.672024390355025
O24,p115240,EXPA-S-O24-4,5223,30,4.63,3.92,0.11961207538843155,1.3413307666778564,< 0.05,11.214007969696889
O24,p115240,EXPA-S-O24-5,5224,40,4.69,3.91,0.1036122590303421,1.0496652126312256,< 0.05,10.1307048263839
O24,p115240,EXPA-S-O24-6,5225,50,4.81,3.94,0.08867719769477844,0.7856953740119934,< 0.05,8.860173691057643
M10,p113100,EXPA-S-M10-1,5226,5,4.85,3.83,0.25637778639793396,4.1343793869018555,< 0.05,16.126121708862577
M10,p113100,EXPA-S-M10-2,5227,10,4.8,3.82,0.19952519237995148,2.8419883251190186,< 0.05,14.243756847040558
M10,p113100,EXPA-S-M10-3,5228,20,4.73,3.8,0.17882227897644043,2.428572416305542,< 0.05,13.58092755671402
