Samplecode,Sample.Collector,Species,Year_Collected,Exp_Site,Exp_vicinity,Exp_Plot,Exp_Plot_Position,TAG,neighbour.tree_TAG,shrub.TAG,Leaf.fresh.weight,Leaf.dry.weight,LA,SLA,LDMC,N,C,CN,K,Mg,Ca,Al,Ca2,Fe,K2,Mg2,Mn,Na,P,S,Zn,Co,Cu,Pb,Sr,Cr,Ni,Cd214,Cd228,stomata.density,average.length,average.width,Phenolics,Tannin
A_J14_12_litgla,Wenzel Kroeber,Lithocarpus glaber,2010,A,,J14,,,,,0.602,288,5445.5,18.908,478.405315614618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_J14_17_cincam,Wenzel Kroeber,Cinnamomum camphora,2010,A,,J14,,,,,0.365,155,1985.74,12.811,424.657534246575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_J14_18_koebip,Wenzel Kroeber,Koelreuteria bipinnata,2010,A,,J14,,,,,3.337,910,17392.84,19.113,272.700029967036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.J14.11.cycgla,Wenzel Kroeber,Cyclobalanopsis glauca,,A,,J14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,20.27,14.572,,
.J14.17.cincam,Wenzel Kroeber,Cinnamomum camphora,,,Unknown,J14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25.543,18.26,,
.J14.12.litgla,Wenzel Kroeber,Lithocarpus glaber,,,Unknown,J14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24.294,19.071,,
.J14.03.schsup,Wenzel Kroeber,Schima superba,,,Unknown,J14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25.802,17.939,,
B-15-J22,David Eichenberg,Diospyros japonica,2011,B,,J22,1200,t210220011200,,,5.42,2080,5045.01,12.3,383.763837638376,1.873,47.671,25.45,,,,0.195,15.949,0.173,17.221,4.336,2.704,1.735,1.826,5.202,0.021,0,0.008,0.006,0.03,0.001,0.003,0,0,,,,,
8.12 - J24.mac_thu.40,Wenzel Kroeber,Machilus thunbergii,,B,,J24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27.334,20.146,,
8.11 - J24.que_phy.44,Wenzel Kroeber,Quercus phillyreoides,,B,,J24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,19.371,14.708,,
8.17 - J24.cyc_gla.11,Wenzel Kroeber,Cyclobalanopsis glauca,,,Unknown,J24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,21.701,14.961,,
B-15o-J25,David Eichenberg,Phyllanthus glaucus,2011,B,,J25,110,,t210250010110,,1.54,530,309.22,19.33,344.155844155844,2.734,44.389,16.237,,,,0.102,9.84,0.142,20.81,3.697,1.626,2.981,1.951,4.113,0.126,0.005,0.014,0,0.041,0.009,0.006,0.002,0.002,,,,,
B-8h-J25,David Eichenberg,Syzygium buxifolium,2011,B,,J25,203,,t210250010203,,0.79,310,114.24,8.16,392.405063291139,1.104,47.407,42.932,,,,,,,,,,,,,,,,,,,,,,,,,,
B-11k-J25,David Eichenberg,Viburnum setigerum,2011,B,,J25,206,,t210250010206,,1.72,620,1810.11,10.81,360.46511627907,1.164,48.172,41.401,,,,,,,,,,,,,,,,,,,,,,,,,12.098,32.76
B-16p-J25,David Eichenberg,Ficus erecta,2011,B,,J25,206,,t210250010206,,1.37,430,1212.76,28.54,313.868613138686,2.445,43.349,17.732,,,,,,,,,,,,,,,,,,,,,,,,,,
B-3c-J25,David Eichenberg,Distylium buxifolium,2011,B,,J25,210,,t210250010210,,0.7,280,694.63,8.17,400,1.346,44.497,33.06,,,,0.13,10.31,0.21,20.65,4.58,3.52,2.9,2.3,4.75,0.28,0.02,0.02,0,0.04,0.02,0.01,0,0,,,,,
B-18r-J25,David Eichenberg,Hydrangea chinensis,2011,B,,J25,505,,t210250010505,,1.2,260,680.32,13.61,216.666666666667,1.671,44.734,26.772,,,,,,,,,,,,,,,,,,,,,,,,,,
B-17q-J25,David Eichenberg,Rhododendron simsii,2011,B,,J25,0907,,t210250010907,,0.86,330,706.07,12.05,383.720930232558,1.527,44.469,29.122,,,,,,,,,,,,,,,,,,,,,,,,,56.349,53.627
B-12l-J25,David Eichenberg,Photinia hirsuta,2011,B,,J25,1011,,t210250011011,,0.66,270,1047.5,10.22,409.090909090909,1.398,48.618,34.78,,,,0.64,20.14,0.56,20.38,4.23,0.17,3.36,2.42,3.45,0.34,0,0.02,0,0.08,0.02,0.03,0,0,,,,,
B-16-J27,David Eichenberg,Daphniphyllum oldhamii,2011,B,,J27,200,t210270010200,,,4.96,1670,3371.9,9.84,336.693548387097,1.48,46.783,31.609,,,,0.474,26.068,0.121,13.687,5.523,0.039,2.525,1.273,2.757,0.051,0,0.007,0,0.092,0.006,0.007,0,0,,,,,
B-39-J29,David Eichenberg,Machilus grijsii,2011,B,,J29,313,t210290010313,,,0.5,190,897.86,16.32,380,1.404,48.361,34.435,,,,,,,,,,,,,,,,,,,,,,,,,,
A-3-J4,David Eichenberg,Schima superba,2011,A,,J4,0918,t110040010918,,,3.67,1430,3338.64,10.12,389.645776566757,1.728,47.678,27.584,,,,1.149,11.717,0.181,12.999,4.361,1.874,5.585,0.922,3.004,0.043,0.002,0.01,0.008,0.09,0.015,0.013,0,0,,,,,
A-14-J4,David Eichenberg,Castanopsis sclerophylla,2011,A,,J4,1511,t110040011511,,,1.87,920,1196.99,7.98,491.978609625668,1.025,45.713,44.594,,,,1.536,8.588,0.146,10.976,3.792,1.129,2.149,0.744,1.944,0.059,0.001,0.003,0,0.043,0.005,0.002,0,0,,,,,
A-25-J4,David Eichenberg,Quercus acutissima,2011,A,,J4,1517,t110040011517,,,1.79,820,3172.72,11.04,458.100558659218,1.828,48.593,26.579,,,,,,,,,,,,,,,,,,,,,,,,,,
A-1-J4,David Eichenberg,Castanea henryi,2011,A,,J4,1617,t110040011617,,,1.71,660,3127.99,12.03,385.964912280702,1.925,47.962,24.911,,,,1.198,6.54,0.19,9.789,5.339,1.722,5.221,1.511,3.103,0.04,0.002,0.026,0.013,0.052,0.006,0.017,0,0.002,,,,108.148,175.363
A-8-J4,David Eichenberg,Quercus serrata,2011,A,,J4,1618,t110040011618,,,0.81,380,1410.82,10.65,469.135802469136,1.205,28.839,23.927,,,,0.593,14.205,0.488,7.247,6.283,2.987,8.465,1.428,3.098,0.048,0,0.021,0.03,0.085,0.015,0.011,0,0,,,,136.117,176.802
A-12-J4,David Eichenberg,Lithocarpus glaber,2011,A,,J4,1714,t110040011714,,,1.1,460,1665.14,10.57,418.181818181818,1.252,48.007,38.348,,,,0.083,10.502,0.134,10.116,2.332,1.029,1.948,1.159,1.797,0.027,0,0.01,0,0.033,0.006,0.007,0,0,,,,,
A-20-J4,David Eichenberg,Nyssa sinensis,2011,A,,J4,1918,t110040011918,,,4.66,1580,7131.86,12.91,339.055793991416,1.194,45.546,38.141,,,,0.88,14.85,0.25,11.04,8.57,2.21,3.5,1.4,2.9,0.02,0.04,0.01,0,0.13,0.01,0.04,0,0,,,,,
A-9i-K21,David Eichenberg,Euonymus myrianthus,2011,A,,K21,206,,t111210010206,,0.1,10,614.5,15.36,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koebip_A_K22_1402_25-08-12,Wenzel Kroeber,Koelreuteria bipinnata,2012,A,,K22,1402,t111220011402,,,35.74,17660,1793511.148,494.124,494.124230554001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
litgla_A_K22_1407_25-08-12,Wenzel Kroeber,Lithocarpus glaber,2012,A,,K22,1407,t111220011407,,,2.5,1260,7359.614,504,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.K4.13.caseyr,Wenzel Kroeber,Castanopsis eyrei,,A,,K4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17.777,12.767,,
A_K4_13_caseyr,Wenzel Kroeber,Castanopsis eyrei,2010,A,,K4,,,,,0.122,66,682.56,10.342,540.983606557377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.K4.10.cascar ?,Wenzel Kroeber,Castanopsis spec.,,A,,K4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24.954,19.136,,
A-28-K5,David Eichenberg,Cunninghamia lanceolata,2011,A,,K5,1117,t111050011117,,,1.37,490,81.63,6.97,357.664233576642,1.092,45.6,41.776,,,,1.655,11.199,0.261,17.273,3.704,2.867,6.685,1.332,4.638,0.016,0,0.015,0.003,0.078,0.007,0.009,0,0,,,,,
B-28-K5-1509-CR,Christian Ristok,Cunninghamia lanceolata,2011,B,,K5,1509,t211050011509,,,,,,,,,,,,,,0.212,28.387,0.321,12.184,1.944,3.726,5.255,1.543,3.912,0.386,0.001,0.015,0.003,0.078,0.02,0.001,0,0,,,,46.616,25.962
B-28-K5,David Eichenberg,Cunninghamia lanceolata,2011,B,,K5,1911,t211050011911,,,1.18,380,137.25,8.37,322.033898305085,1.425,46.606,32.713,,,,,,,,,,,,,,,,,,,,,,,,,46.616,34.677
B-34-K6,David Eichenberg,Elaeocarpus chinensis,2011,B,,K6,1715,t211060011715,,,1.05,430,1096.74,8.95,409.52380952381,1.673,46.523,27.803,,,,0.24,9.114,0.199,13.091,2.189,3.565,2.601,1.575,3.421,0.023,0,0.012,0,0.026,0.012,0.007,0,0,,,,231.179,388.647
A-2b-L21,David Eichenberg,Camellia chekiangoleosa,2011,A,,L21,2,,t112210010002,,4.73,1630,1913.64,7.15,344.6088794926,1.162,44.109,37.975,,,,,,,,,,,,,,,,,,,,,,,,,27.273,36.85
A-7g-L21,David Eichenberg,Syzygium buxifolium,2011,A,,L21,101,,t112210010101,,1.36,610,163.24,8.4,448.529411764706,0.993,48.987,49.355,,,,,,,,,,,,,,,,,,,,,,,,,113.869,92.955
A-8h-L21,David Eichenberg,Gardenia jasminoides,2011,A,,L21,102,,t112210010102,,1.28,460,2894.67,9.49,359.375,1.895,44.116,23.277,,,,,,,,,,,,,,,,,,,,,,,,,,
A-3c-L21,David Eichenberg,Distylium buxifolium,2011,A,,L21,300,,t112210010300,,0.78,370,562.8,8.66,474.358974358974,0.962,45.343,47.127,,,,,,,,,,,,,,,,,,,,,,,,,153.908,63.321
A-10j-L21,David Eichenberg,Loropetalum chinense,2011,A,,L21,0408,,t112210010408,,0.27,90,211.42,11.43,333.333333333333,1.126,45.437,40.355,,,,,,,,,,,,,,,,,,,,,,,,,48.249,27.624
A-5e-L21,David Eichenberg,Eurya muricata,2011,A,,L21,412,,t112210010412,,1.44,630,1267.4,7.8,437.5,1.266,43.615,34.46,,,,,,,,,,,,,,,,,,,,,,,,,56.52,36.217
A-1-L21-0507-CR,Christian Ristok,Castanea henryi,2011,A,,L21,507,t112210010507,,,,,,,,,,,,,,0.92,6.43,0.29,10.78,4.15,3.58,3.13,1.08,2.84,0.04,0,0.01,0,0.02,0,0,0,0,,,,67.057,51.781
A-4-L21-0510-CR,Christian Ristok,Choerospondias axillaris,2011,A,,L21,510,t112210010510,,,,,,,,,,,,,,0.28,11.22,0.37,16.54,3.85,0.37,2.85,1.48,3.94,0.02,0,0.01,0,0.04,0.01,0,0,0,,,,76.407,25.973
A-13-L21,David Eichenberg,Castanopsis eyrei,2011,A,,L21,0611,t112210010611,,,0.78,390,872.47,8.72,500,1.152,46.201,40.106,,,,,,,,,,,,,,,,,,,,,,,,,126.148,104.698
A-9-L21,David Eichenberg,Cyclobalanopsis myrsinifolia,2011,A,,L21,0701,t112210010701,,,1.19,570,2172.46,10.35,478.991596638655,1.713,47.001,27.439,,,,0.129,15.899,0.202,14.659,5.025,2.731,6.617,1.426,2.956,0.04,0.002,0.017,0.008,0.068,0.01,0.007,0,0,,,,29.961,12.063
A-9-L21-0701-CR,Christian Ristok,Cyclobalanopsis myrsinifolia,2011,A,,L21,0701,t112210010701,,,,,,,,,,,,,,0.11,12.77,0.14,13.32,4.6,2.32,2.87,1.39,2.99,0.01,0.01,0.01,0,0.06,0,0,0,0,,,,29.961,8.386
A-11-L21,David Eichenberg,Cyclobalanopsis glauca,2011,A,,L21,0800,t112210010800,,,1.35,690,4095.1,6.97,511.111111111111,1.349,47.188,34.97,,,,0.352,24.157,0.278,8.053,3.622,2.588,6.134,1.208,2.568,0.044,0,0.018,0.003,0.087,0.007,0.004,0,0.002,,,,,
A-6-L21-0810-CR,Christian Ristok,Liquidambar formosana,2011,A,,L21,0810,t112210010810,,,,,,,,,,,,,,0.897,16.614,0.404,12.878,4.873,5.846,3.202,1.058,2.681,0.037,0.004,0.017,0.008,0.056,0.01,0.01,0,0,,,,75.016,32.591
A-20-L21-0816-CR,Christian Ristok,Nyssa sinensis,2011,A,,L21,0816,t112210010816,,,,,,,,,,,,,,0.542,12.05,0.302,12.696,3.639,6.67,4.931,1.324,3.816,0.299,0.511,0.015,0,0.051,0.007,0.038,0,0,,,,60.813,39.603
A-6f-L21,David Eichenberg,Rhaphiolepis indica,2011,A,,L21,0904,,t112210010904,,1.74,800,1038.12,8.65,459.770114942529,1.402,46.223,32.962,,,,,,,,,,,,,,,,,,,,,,,,,16.471,8.877
A.L21.18.koebie V,Wenzel Kroeber,Koelreuteria bipinnata,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,16.523,11.161,,
A.L21.13.laseyr,Wenzel Kroeber,Castanopsis eyrei,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,21.046,15.499,,
A.L21.04.choaxi V,Wenzel Kroeber,Choerospondias axillaris,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,22.938,13.233,,
A.L21.06.liqtor V,Wenzel Kroeber,Liquidambar formosana,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,15.136,11.076,,
A.L21.12.litgla,Wenzel Kroeber,Lithocarpus glaber,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21.692,14.797,,
A_L21_01_cashen,Wenzel Kroeber,Castanea henryi,2010,A,,L21,,,,,1.458,707,7203.16,10.188,484.910836762689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_L21_03_schsup,Wenzel Kroeber,Schima superba,2010,A,,L21,,,,,1.619,637,7864.11,12.346,393.452748610253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_L21_04_choaxi,Wenzel Kroeber,Choerospondias axillaris,2010,A,,L21,,,,,9.201,4843,34352.3,7.093,526.355830887947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.L21.01.cashen V,Wenzel Kroeber,Castanea henryi,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,29.706,19.774,,
A.L21.14.cassel,Wenzel Kroeber,Castanopsis sclerophylla,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,20.774,14.03,,
A_L21_06_liqfor,Wenzel Kroeber,Liquidambar formosana,2010,A,,L21,,,,,1.571,715,8262.39,11.556,455.124124761299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.L21.03.schsup V,Wenzel Kroeber,Schima superba,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28.717,20.366,,
A.L21.08.queser,Wenzel Kroeber,Quercus phillyreoides,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,24.094,15.187,,
A_L21_08_queser,Wenzel Kroeber,Quercus serrata,2010,A,,L21,,,,,0.255,181,1793.44,9.909,709.803921568627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_L21_11_cycgla,Wenzel Kroeber,Cyclobalanopsis glauca,2010,A,,L21,,,,,0.637,291,2499.36,8.589,456.828885400314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_L21_12_litgla,Wenzel Kroeber,Lithocarpus glaber,2010,A,,L21,,,,,0.222,132,1309.96,9.924,594.594594594595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_L21_13_caseyr,Wenzel Kroeber,Castanopsis eyrei,2010,A,,L21,,,,,0.227,111,1366.21,12.308,488.986784140969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_L21_14_casscl,Wenzel Kroeber,Castanopsis sclerophylla,2010,A,,L21,,,,,1.194,569,4745.84,8.341,476.549413735343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.L21.11.cycgla V,Wenzel Kroeber,Cyclobalanopsis glauca,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,22.072,15.763,,
A.L21.19.sapmuk V,Wenzel Kroeber,Sapindus saponaria,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,33.887,16.424,,
A_L21_23_rhuchi,Wenzel Kroeber,Rhus chinensis,2010,A,,L21,,,,,5.747,2730,20487.65,7.505,475.030450669915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.L21.21.sapseb,Wenzel Kroeber,Triadica sebifera,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26.752,12.246,,
A.L21.24.quetab,Wenzel Kroeber,Quercus fabri,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,18.972,14.458,,
A_L21_21_sabseb,Wenzel Kroeber,Triadica sebifera,2010,A,,L21,,,,,0.748,286,3560.67,12.45,382.352941176471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.L21.20.nyssin,Wenzel Kroeber,Nyssa sinensis,,A,,L21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,26.261,15.412,,
A_L21_19_sapmuk,Wenzel Kroeber,Sapindus saponaria,2010,A,,L21,,,,,6.611,2487,24420.83,9.819,376.191196490697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_L21_24_quefab,Wenzel Kroeber,Quercus fabri,2010,A,,L21,,,,,0.381,270,3274.92,12.129,708.661417322835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_L21_18_koebip,Wenzel Kroeber,Koelreuteria bipinnata,2010,A,,L21,,,,,1.302,856,11442.04,13.367,657.450076804916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A_L21_20_nyssin,Wenzel Kroeber,Nyssa sinensis,2010,A,,L21,,,,,2.617,1324,13484.82,10.185,505.922812380588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-20-L22-0200-CR,Christian Ristok,Nyssa sinensis,2011,A,,L22,200,t112220010200,,,,,,,,,,,,,,0.597,11.776,0.29,7.5,4.213,3.377,4.894,1.093,2.607,0.118,0.21,0.012,0,0.057,0.005,0.028,0,0,,,,126.29,45.617
sapmuk_A_L22_0803_11-09-12,Wenzel Kroeber,Sapindus saponaria,2012,A,,L22,0803,t112220010803,,,43.62,17820,220168.809,408.528,408.528198074278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-8-L22-0819-CR,Christian Ristok,Quercus serrata,2011,A,,L22,0819,t112220010819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,246.925,208.349
nyssin_A_L22_0902_11-09-12,Wenzel Kroeber,Nyssa sinensis,2012,A,,L22,0902,t112220010902,,,7.73,3010,39358.146,389.392,389.391979301423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rhuchi_A_L22_1003_11-09-12,Wenzel Kroeber,Rhus chinensis,2012,A,,L22,1003,t112220011003,,,42.61,17890,149029.229,419.854,419.854494250176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cashen_A_L22_1102_11-09-12,Wenzel Kroeber,Castanea henryi,2012,A,,L22,1102,t112220011102,,,3.28,1560,14982.637,475.61,475.609756097561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cycgla_A_L24_0203_11-09-12,Wenzel Kroeber,Cyclobalanopsis glauca,2012,A,,L24,203,t112240010203,,,4.71,2420,14791.454,513.8,513.80042462845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caseyr_A_L24_0405_25-08-12,Wenzel Kroeber,Castanopsis eyrei,2012,A,,L24,405,t112240010405,,,2.69,1270,11097.48,472.119,472.118959107807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-32-L24,David Eichenberg,Castanopsis fargesii,2011,A,,L24,504,t112240010504,,,1.58,810,1464.22,9.15,512.658227848101,1.477,45.214,30.617,,,,,,,,,,,,,,,,,,,,,,,,,36.045,44.641
A-13-L24,David Eichenberg,Castanopsis eyrei,2011,A,,L24,0807,t112240010807,,,0.84,400,893.63,8.12,476.190476190476,1.334,46.457,34.837,,,,,,,,,,,,,,,,,,,,,,,,,124.662,141.021
queser_A_L24_1205_11-09-12,Wenzel Kroeber,Quercus serrata,2012,A,,L24,1205,t112240011205,,,1.86,840,7258.825,451.613,451.612903225806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-28-L24,David Eichenberg,Cunninghamia lanceolata,2011,B,,L24,1705,t212240011705,,,1.93,590,92.48,8.94,305.699481865285,0.961,45.325,47.182,,,,0.1,10.981,0.18,9.617,3.06,1.128,2.046,1.463,2.15,0.074,0.001,0.012,0,0.021,0.008,0.004,0,0,,,,,
B-29-L6,David Eichenberg,Ailanthus altissima,2011,B,,L6,0703,t212060010703,,,8.91,3450,51306.9,12.3,387.205387205387,1.914,45.337,23.687,,,,,,,,,,,,,,,,,,,,,,,,,,
B-36-L6,David Eichenberg,Elaeocarpus japonicus,2011,B,,L6,0705,t212060010705,,,2.52,1010,2718.1,9.97,400.793650793651,1.742,46.374,26.615,,,,0.286,5.961,0.224,13.428,2.605,2.617,6.417,1.87,2.793,0.104,0,0.019,0.001,0.045,0.002,0.019,0.004,0.002,,,,218.327,344.633
A-17-L6,David Eichenberg,Cinnamomum camphora,2011,A,,L6,0801,t112060010801,,,2.1,850,2509.94,9.84,404.761904761905,1.435,47.603,33.167,,,,0.4,15.56,0.12,21.02,5.82,1.38,2.9,1.31,3.08,0.03,0,0.02,0,0.11,0,0.01,0,0,,,,,
B-31-L6,David Eichenberg,Betula luminifera,2011,B,,L6,0807,t212060010807,,,2.48,830,3433.28,25.91,334.677419354839,2.521,46.131,18.297,,,,0.373,12.2,0.287,19.644,4.997,3.614,6.525,1.706,3.895,1.301,0,0.029,0.012,0.05,0.004,0.008,0.007,0.006,,,,,
A-22-L6,David Eichenberg,Triadica cochinchinensis,2011,A,,L6,0816,t112060010816,,,3.05,960,3127.26,12.39,314.754098360656,2.238,45.378,20.272,,,,0.133,12.348,0.166,16.008,4.572,2.323,2.699,1.524,3.067,0.017,0.271,0.011,0,0.072,0.009,0.044,0,0,,,,,
A-19-L6,David Eichenberg,Sapindus saponaria,2011,A,,L6,0916,t112060010916,,,8.12,3050,44315.23,14.11,375.615763546798,2.489,46.172,18.549,,,,,,,,,,,,,,,,,,,,,,,,,,
B-3-L6,David Eichenberg,Schima superba,2011,B,,L6,1100,t212060011100,,,3.12,1350,2891.22,11.23,432.692307692308,1.644,48.405,29.448,,,,,,,,,,,,,,,,,,,,,,,,,,
B-33-L6,David Eichenberg,Celtis biondii,2011,B,,L6,1101,t212060011101,,,0.48,160,659.46,20.29,333.333333333333,1.608,41.061,25.531,,,,,,,,,,,,,,,,,,,,,,,,,,
B-12-L6,David Eichenberg,Lithocarpus glaber,2011,B,,L6,1200,t212060011200,,,1.67,840,900.32,8.57,502.994011976048,1.432,48.285,33.712,,,,0.139,15.755,0.191,14.683,4.972,2.714,6.598,1.385,2.959,0.033,0,0.019,0.016,0.068,0.01,0.003,0,0,,,,,
B-11-L6,David Eichenberg,Cyclobalanopsis glauca,2011,B,,L6,1202,t212060011202,,,2.31,1120,2838.98,7.14,484.848484848485,1.737,47.348,27.259,,,,0.132,10.83,0.176,13.346,2.783,2.377,4.969,1.489,3.581,0.038,0.001,0.023,0,0.048,0.003,0,0,0,,,,,
B-13-L6,David Eichenberg,Castanopsis eyrei,2011,B,,L6,1403,t212060011403,,,1.18,580,1029.26,7.35,491.525423728814,1.69,46.707,27.64,,,,0.215,5.334,0.19,7.943,2.714,0.92,5.844,1.117,2.655,0.079,0.003,0.012,0.012,0.029,0.009,0.003,0,0,,,,134.127,233.505
A-26-L6,David Eichenberg,Melia azedarach,2011,A,,L6,1619,t112060011619,,,10.69,3060,53719.82,19.05,286.248830682881,2.771,46.56,16.803,,,,,,,,,,,,,,,,,,,,,,,,,12.607,2.505
A-27-L6,David Eichenberg,Acer davidii,2011,A,,L6,1713,t112060011713,,,3.46,1090,7167.08,55.13,315.028901734104,1.551,45.134,29.11,,,,,,,,,,,,,,,,,,,,,,,,,100.362,60.833
A-20-L6,David Eichenberg,Nyssa sinensis,2011,A,,L6,1804,t112060011804,,,6.49,2210,5905.17,17.76,340.523882896764,1.231,45.56,37.015,,,,0.122,12.253,0.156,11.577,3.797,2.084,5.509,1.035,2.222,0.025,0.002,0.01,0,0.052,0.006,0.001,0,0,,,,,
B-42-L6,David Eichenberg,Manglietia fordiana,2011,B,,L6,1804,t212060011804,,,5.69,1730,2380.2,12.69,304.042179261863,1.431,46.254,32.331,,,,0.353,15.976,0.242,11.497,4.148,1.079,7.641,1.415,3.249,0.055,0,0.025,0,0.086,0.006,0.007,0,0,,,,,
A-18-L6,David Eichenberg,Koelreuteria bipinnata,2011,A,,L6,1814,t112060011814,,,7.66,3230,100380.92,11.92,421.671018276762,1.793,47.719,26.613,,,,0.24,7.84,0.23,12.45,3.95,0.25,2.53,1.23,2.91,0.05,0,0.01,0,0.05,0,0,0,0,,,,,
B-35-L6,David Eichenberg,Elaeocarpus glabripetalus,2011,B,,L6,1906,t212060011906,,,1.72,670,2817.72,9.39,389.53488372093,1.535,45.488,29.636,,,,,,,,,,,,,,,,,,,,,,,,,,
B-14-L7,David Eichenberg,Castanopsis sclerophylla,2011,B,,L7,1416,t212070011416,,,2.6,1290,1681.37,9.21,496.153846153846,1.783,47.161,26.452,,,,,,,,,,,,,,,,,,,,,,,,,,
A-8h-M12,David Eichenberg,Gardenia jasminoides,2011,A,,M12,1710,,t113120011710,,3.57,1220,1787.54,9.41,341.736694677871,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.947,3.656
B-28-W19,David Eichenberg,Cunninghamia lanceolata,2011,B,,M19,103,,,s113190030103,1.1,350,119.83,9.99,318.181818181818,1.435,46.577,32.467,,,,,,,,,,,,,,,,,,,,,,,,,29.603,18.589
A-18-M21,David Eichenberg,Koelreuteria bipinnata,2011,A,,M21,103,t113210010103,,,19,8420,33635.23,10.22,443.157894736842,1.584,47.651,30.092,,,,0.24,6.5,0.25,8.29,4.43,0.32,3.27,1.76,3.57,0.07,0,0.01,0,0.06,0,0,0,0,,,,,
A-4-M21,David Eichenberg,Choerospondias axillaris,2011,A,,M21,404,t113210010404,,,6.16,2430,38850.04,13.78,394.480519480519,1.89,45.969,24.325,,,,0.16,13.15,0.21,13.15,5.24,0.24,2.49,1.84,4.24,0.04,0,0.01,0,0.11,0,0,0,0,,,,,
A-20-M21,David Eichenberg,Nyssa sinensis,2011,A,,M21,504,t113210010504,,,4.11,1330,6401.09,13.77,323.60097323601,1.608,45.508,28.306,,,,1.86,16.49,0.33,14.52,7.97,3.56,2.56,1.6,3.71,0.03,0.11,0.01,0,0.14,0.01,0.04,0,0,,,,,
macthu_B_M21_1104_07-09-12,Wenzel Kroeber,Machilus thunbergii,2012,B,,M21,1104,t213210011104,,,2.81,1710,11174.275,608.541,608.540925266904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macthu_B_M21_1205_07-09-12,Wenzel Kroeber,Machilus thunbergii,2012,B,,M21,1205,t213210011205,,,2.42,1210,8467.111,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
