Samplecode,Sample.Collector,Species,Year_Collected,Exp_Site,Exp_vicinity,Exp_Plot,Exp_Plot_Position,TAG,neighbour.tree_TAG,shrub.TAG,Leaf.fresh.weight,Leaf.dry.weight,LA,SLA,LDMC,N,C,CN,K,Mg,Ca,Al,Ca2,Fe,K2,Mg2,Mn,Na,P,S,Zn,Co,Cu,Pb,Sr,Cr,Ni,Cd214,Cd228,stomata.density,average.length,average.width,Phenolics,Tannin
B-29-V27,David Eichenberg,Ailanthus altissima,2011,B,,V27,1706,t222270011706,,,26.86,10520,3369.79,9.98,391.660461653016,1.447,47.981,33.171,,,,0.242,10.63,0.222,21.327,3.754,0.466,2.356,1.837,3.707,0.064,0,0.012,0,0.048,0.005,0.005,0,0,,,,,
V27.ela_chi.34,Wenzel Kroeber,Elaeocarpus chinensis,,B,,V27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,20.411,14.413,,
V27.mac_lep.41,Wenzel Kroeber,Machilus leptophylla,,B,,V27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13.887,10.573,,
V27.cas_far.32,Wenzel Kroeber,Castanopsis fargesii,,,Unknown,V27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,25.716,21.733,,
V27.cas_scl.14,Wenzel Kroeber,Castanopsis sclerophylla,,,Unknown,V27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,19.836,12.739,,
V27.cyc_gla.11,Wenzel Kroeber,Cyclobalanopsis glauca,,,Unknown,V27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,20.192,12.098,,
B-40-V28,David Eichenberg,Machilus thunbergii,2011,B,,V28,319,t222280010319,,,1.74,760,3092.01,11.24,436.781609195402,1.655,48.489,29.295,,,,0.303,8.58,0.28,12.749,2.735,1.186,2.381,1.749,2.89,0.067,0.001,0.023,0,0.038,0.005,0.004,0,0,,,,,
B-35-W11-1906-CR,Christian Ristok,Elaeocarpus glabripetalus,2011,B,,W11,1906,t223110011906,,,,,,,,,,,,,,0.182,7.418,0.19,15.736,1.789,1.496,2.111,1.196,3.028,0.062,0,0.016,0.005,0.023,0.014,0.006,0,0,,,,172.121,206.809
W11.ela_gla.35,Wenzel Kroeber,Elaeocarpus glabripetalus,,B,,W11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,17.644,11.69,,
elagla_B_W12_0805_18-08-12,Wenzel Kroeber,Elaeocarpus glabripetalus,2012,B,,W12,0805,t223120010805,,,2.39,810,9634.721,338.912,338.912133891213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-2-W13-0516-CR,Christian Ristok,Pinus massoniana,2011,B,,W13,516,t223130010516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.418,5.485
B-2-W13,David Eichenberg,Pinus massoniana,2011,B,,W13,516,t223130010516,,,3.24,940,779.5,22.63,290.123456790123,1.339,46.972,35.092,,,,0.391,2.924,0.198,15.279,1.435,1.157,1.983,1.647,2.294,0.131,0,0.014,0,0.011,0.006,0.009,0,0,,,,79.418,12.15
B-28-W19-0510-CR,Christian Ristok,Cunninghamia lanceolata,2011,B,,W19,510,t223190010510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.603,11.431
B-28-W27-0001-CR,Christian Ristok,Cunninghamia lanceolata,2011,B,,W27,1,t223270010001,,,,,,,,,,,,,,0.35,15.725,0.397,18.153,1.424,2.354,5.622,1.299,3.378,0.171,0,0.024,0.019,0.058,0.022,0.005,0,0,,,,45.648,34.662
B-28-W27,David Eichenberg,Cunninghamia lanceolata,2011,B,,W27,506,t223270010506,,,1.26,420,32659.25,11,333.333333333333,2.893,47.044,16.26,,,,,,,,,,,,,,,,,,,,,,,,,45.648,42.346
B-11-X11-0003-CR,Christian Ristok,Cyclobalanopsis glauca,2011,B,,X11,3,t224110010003,,,,,,,,,,,,,,0.2,19.97,0.16,16.73,3.41,1.44,3.36,1.46,2.93,0.03,0,0.01,0,0.06,0,0,0,0,,,,43.078,3.469
B-13-X11-0005-CR,Christian Ristok,Castanopsis eyrei,2011,B,,X11,5,t224110010005,,,,,,,,,,,,,,0.16,6.27,0.13,12.16,2.48,1.34,2.47,1.27,2.57,0.12,0,0.01,0,0.04,0,0,0,0,,,,73.848,108.725
B-32-X11-0011-CR,Christian Ristok,Castanopsis fargesii,2011,B,,X11,11,t224110010011,,,,,,,,,,,,,,1.17,8.67,0.19,12.87,2.9,0.92,2.49,1.07,3.14,0.07,0,0.01,0.01,0.08,0,0,0,0,,,,32.544,34.429
B-15-X11-0303-CR,Christian Ristok,Diospyros japonica,2011,B,,X11,303,t224110010303,,,,,,,,,,,,,,0.336,14.128,0.26,25.751,4.817,2.507,5.023,1.447,3.802,0.065,0,0.012,0,0.04,0.006,0.006,0,0,,,,69.342,10.742
B-42-X11-0305-CR,Christian Ristok,Manglietia fordiana,2011,B,,X11,305,t224110010305,,,,,,,,,,,,,,0.322,13.706,0.184,31.755,4.201,1.086,2.883,1.489,3.203,0.226,0,0.025,0,0.055,0.003,0,0,0,,,,8.313,0.069
B-12-X11-0403-CR,Christian Ristok,Lithocarpus glaber,2011,B,,X11,403,t224110010403,,,,,,,,,,,,,,0.386,18.041,0.232,10.144,1.056,3.154,2.17,1.085,2.637,0.037,0.001,0.014,0.028,0.043,0.009,0.004,0,0,,,,38.963,8.534
B-17-X11-0605-CR,Christian Ristok,Cinnamomum camphora,2011,B,,X11,0605,t224110010605,,,,,,,,,,,,,,0.335,10.186,0.203,21.553,2.76,1.075,5.378,1.423,2.906,0.122,0,0.02,0.002,0.047,0.011,0.006,0,0,,,,27.247,7.696
B-3-X11-0804-CR,Christian Ristok,Schima superba,2011,B,,X11,0804,t224110010804,,,,,,,,,,,,,,0.559,11.492,0.199,20.431,3.77,1.263,6.24,0.874,3.086,0.363,0,0.017,0,0.055,0.007,0.007,0,0,,,,113.461,27.233
B-3-X11,David Eichenberg,Schima superba,2011,B,,X11,0905,t224110010905,,,3.05,1270,2553.87,12.93,416.393442622951,1.981,45.44,22.941,,,,1.72,11.364,0.243,11.111,3.572,2.791,2.237,0.963,3.268,0.009,0,0.006,0,0.051,0.008,0.007,0,0,,,,113.461,34.817
B-14-X11-1001-CR,Christian Ristok,Castanopsis sclerophylla,2011,B,,X11,1001,t224110011001,,,,,,,,,,,,,,0.7,4.83,0.17,9.25,2.03,0.64,2.89,1.41,2.54,0.06,0,0.01,0,0.03,0,0,0,0,,,,42.565,15.12
X11.ela_chi.34,Wenzel Kroeber,Elaeocarpus chinensis,,B,,X11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,22.007,14.923,,
X11.man_yuy.42,Wenzel Kroeber,Manglietia fordiana,,B,,X11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27.771,20.439,,
X11.cas_eyr.13,Wenzel Kroeber,Castanopsis eyrei,,,Unknown,X11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,20.882,16.494,,
X11.cas_far.32,Wenzel Kroeber,Castanopsis fargesii,,,Unknown,X11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21.44,15.918,,
X11.cin_cam.17,Wenzel Kroeber,Cinnamomum camphora,,,Unknown,X11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,23.562,18.507,,
X11.cyc_gla.11,Wenzel Kroeber,Cyclobalanopsis glauca,,,Unknown,X11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,21.384,15.565,,
ailalt_B_X23_0416_27-08-12,Wenzel Kroeber,Ailanthus altissima,2012,B,,X23,416,t224230010416,,,19.99,7470,85114.206,373.687,373.686843421711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cincam_B_X23_0812_27-08-12,Wenzel Kroeber,Cinnamomum camphora,2012,B,,X23,0812,t224230010812,,,1.82,910,8839.261,500,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-14n-X9,David Eichenberg,Rhododendron ovatum,2011,B,,X9,0814,,t224090010814,,0.5,190,2221.59,3.09,380,2.03,48.137,23.719,,,,,,,,,,,,,,,,,,,,,,,,,,
B-12l-X9,David Eichenberg,Photinia hirsuta,2011,B,,X9,1310,,t224090011310,,0.56,260,1128.8,7.53,464.285714285714,1.498,47.572,31.748,,,,,,,,,,,,,,,,,,,,,,,,,84.601,51.387
B-2-Y22-0315-CR,Christian Ristok,Pinus massoniana,2011,B,,Y22,315,t225220010315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.39,7.699
B-2-Y22,David Eichenberg,Pinus massoniana,2011,B,,Y22,315,t225220010315,,,2.79,930,108.44,9.99,333.333333333333,1.641,47.388,28.88,,,,,,,,,,,,,,,,,,,,,,,,,57.39,10.995
B-2-Y22,David Eichenberg,Pinus massoniana,2011,B,,Y22,0315,t225220010315,,,1.18,10.86,108.44,9.99,322.03,1.641,47.388,28.88,,,,,,,,,,,,,,,,,,,,,,,,,57.39,10.995
