CSP,no,horizon_depth29,horizon_distinctness30,soil_horizon31,soil_col32,org_matter33,ped_soil_moist36,ped_con37,ped_other38,ped_soil_structure39,ped_soil_size40,ped_voids_porosity41,cutan_feat44,bio_root45,bio_bio_feat46,gen_sub47,hand_text48,rock_artefacts49,coarse_mat50,chargo51,parent_material53,artefact_type54,abundance_size55,stratigraphy56,samp_num_dist60,samp_num_undist61
CSP07,2,-28,"de,e,h",II Ah+Bv,"7,5YR 5/6",h3,22.6,FR,Vw,sub,FI,gri3f2,,Wf2  Wg2,,uhg,Us,"fGr, mGr, fX5",30,,Lhg,,,q,07-1-2,LD07-1-2
CSP07,3,-48,"de,e,g",III BvCv,"7,5YR 5/8",h2,21.5,VFF,,sub,FI,gri3f2,,Wf2  Wg0,,uhg,Ls2,"mGr, gGr3, fX5",95,,Lhg,,,q,07-1-3,
CSP07,4,-60+,,IV imCj,,,,,,,,,,Wf0    Wg0,,uhg,,fX6,100,,csa,,,"q,t",,
CSP07,5,,,,,,,,,,,,,,,,,,,,,,,,,
CSP07,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP07,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP07,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP08,1,-10,,Ah,10YR4/3,,8.5,ko1,,sub,,gri2f4,,"Wf4,Wg1",,Uhg,Slu,,20,,Gn,,,q,08-1-1,
CSP08,2,-27,,II Ah+Bv,10YR5/8,,18.5,ko2,,sub,,gri2f2,,"Wf2,Wg2",,Uhg,Slu,,40,,Gn,,,q,08-1-2,
CSP08,3,-90+,,III ilCv+ixC,10YR7/8,,17.2,ko2-3,,sub,,gri2f4,,"Wf0,Wg0",,Uhg,Slu,,95,,Gn,,,"q, t",08-1-3,
CSP08,4,,,,,,,,,,,,,,,,,,,,,,,,,
CSP08,5,,,,,,,,,,,,,,,,,,,,,,,,,
CSP08,6,,,,,,,,,,,,,,,,,,,,,,,,,
CSP08,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP08,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP09,1,-8,z,Ah,10 YR 2/2,h5,23.3,ko2,,sub-kru,"Vf1, h","f4, gri2",,"Wf3, Wg4",R,uhg,Ut3,"fGr1, mGr1",1,,,,,q,09-1-1,
CSP09,2,-15,w,Ah+Bv,"10 YR 2/2,       10 YR 6/6",h3,23.6,ko4,"Hu,una",sub,"Vf1, h","f3, gri3",,"Wf3, Wg3",R,uhg,Ut4,fGr2,5,,Xhg+Csa,,,q,09-1-2,
CSP09,3,-30,,II Bv1,10 YR 6/6,h1,23.6,ko4,,sub,"Vf1, h","f3, gri3",,"Wf3, Wg3",R,uhg,Ut4,"fGr2, gX1",10,,Xhg,,,q,09-1-3,
CSP09,4,-48,e,III Bv2,10 YR 5/6,h0,21.5,ko4,,sub,"Vf1, h","f3, gri3",,"Wf2, Wg2",R,uhg,Tu2,"fGr2, fX3",30,,Xhg+Csa,,,q,09-1-4,
CSP09,5,-80,e,III Bv-Cv,10 YR 6/8,h0,17.6,ko4,,sub,"Vf1, h","f3, gri3",,"Wf1, Wg1",,uhg,Lu,"fGr3, fX4",20,,Xhg,,,q,09-1-5,
CSP09,6,-110+,e,IV imCj,10 YR 6/6,h0,19.8,ko2,,sub,"Vf1, h","f3, gri3",,"Wf0, Wg0",,uhg,,"fGr3, fX4",90,,Csa,,,q,,
CSP09,7,,,,,,,,,,,,,,,,,,,,,,,,,
CSP09,8,,,,,,,,,,,,,,,,,,,,,,,,,
CSP10,1,-4,"e,de",Ah,10YR 2/2,h5,9.3,VFR,Vw,kru,VF,gri2f4  gri3f3,,Wf5   Wg2,,uhg,Ut2,,0,,Lhg,,,q,10-1-1,
CSP10,2,-27,"e,di",Bv-Ah,10YR 4/4,h3,9.7,SHA,Vw,sub,ME,gri3f4   gri2f3,,Wf4  Wg3,,uhg,Ut2,fGr2,8,,Lhg,,,q,10-1-2,LD10-1-1
CSP10,3,-64,e.sc,II Bv+ilCv,10YR 5/8,h2,8.6,SO,Vw,sub,VF,gri3f3,,Wf3   Wg2,,uhg,Uls,fX6,80,,Xhg,,,"q,t",10-1-3,
CSP10,4,-100+,,III imCv,,,,,,,,,,Wf 0    Wg0,,uhg,,gX6,80,,Xhg,,,"q,t",,
