rownr,date,Date,start,end,plotignore,CSP,working condition,protoc.first,protoc.sur,meas.first,meas.sur,entered.first,entered.sur,entered.date,page,Central_subplot,CWD-Id,CWD_CSP_original,Idaddon,CWD_CSP,Species,specunpolished,TagAFCW,TagMBa,TagAFCW original,TagMBa original,DBH,dbh.comment,dbhpostmean,dbhpostsd,stemsGrEq10,stemsCnSm10,height,BD,lookup tag,dbase.remark.kn,dtop,dtop.remark.kn,length,len.rem.kn,height_length,hei.len.rem.kn,broken at,broken diam,neigh.label,reference is self,neigh.dist,neigh.azimut,direction CWD,pos.cw,pos.af_original,plot estimate,pos.af,alive,sc,mc,dc,ter,rot,fungi,valid,crown_origin,remark,vol_factor,Allometrie,comment Karin,meandbh,meanGr10,meanSm10Cn,ice_storm_representative
819,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,c,23,CSP10_23,1,CSP10_23,Castanopsis eyrei,Castanopsis eyrei,,,,no tag,,,,,,,,7,,,3,,,,2.4,,,,no tag,,nn,nn,100,,9,,9,d,50,1,1,,,,,,-,,,,,,,no
820,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,c,24,CSP10_24,1,CSP10_24,Castanopsis eyrei,Castanopsis eyrei,,,,no tag,,,,,,,,3.6,,,3.3,,,,0.8,,,,no tag,,nn,nn,100,,9,,9,d,5,1,1,,,,,,-,,,,,,,no
821,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,c,25,CSP10_25,1,CSP10_25,Castanopsis eyrei,Castanopsis eyrei,,,,no tag,,,,,,,,6.5,,,5,,,,1,,,,no tag,,nn,nn,100,,9,,9,d,80,1,1,,,,,,-,,,,,,,no
822,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,c,26,CSP10_26,1,CSP10_26,Castanopsis eyrei,Castanopsis eyrei,,,,no tag,,,,,,,,6.5,,,6,,,,0.6,,,,no tag,,nn,nn,345,,9,,9,d,100,5,3,,,,,,-,,,,,,,no
823,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,c,27,CSP10_27,1,CSP10_27,Castanopsis eyrei,Castanopsis eyrei,,,,no tag,,,,,,,,6.3,,,5.8,,,,0.3,,,,no tag,,nn,nn,12,,9,,9,d,90,5,3,,,,,,-,,,,,,,no
824,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,c,28,CSP10_28,1,CSP10_28,Castanopsis eyrei,Castanopsis eyrei,,,,no tag,,,,,,,,4.4,,,3,,,,0.45,,,,no tag,,nn,nn,160,,9,,9,d,70,5,2,,,,,,-,,,,,,,no
825,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,c,29,CSP10_29,1,CSP10_29,Castanopsis eyrei,Castanopsis eyrei,,,,no tag,,,,,,,,3.8,,,3,,,,0.45,,,,no tag,,nn,nn,110,,9,,9,d,90,5,3,,,,,,-,,,,,,,no
826,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,2,c,30,CSP10_30,1,CSP10_30,Camellia fraterna,Camelia fraterna,,,,no tag,,,,,,,,3.2,,,3,,,,1.1,,,,no tag,,nn,nn,135,,7,,7,d,20,5,1,,,,,,-,,,,,,,no
827,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,31,CSP10_31,1,CSP10_31,Schima superba,Schima superba,,,,no tag,,,,,,,,5,,,3,,,,1.2,,,,no tag,,nn,nn,350,,9,,9,d,10,1,1,,,,,,-,,,,,,,no
828,2009-01-14 00:00:00,,1899-12-30 10:30:00,1899-12-30 14:30:00,,CSP10,"very cold, all frozen- on the other side of the valley sunny",Anja,Fankhaenel,Tiemo,Kahl,Anja,Fankhaenel,2009-02-02 00:00:00,3,c,32,CSP10_32,1,CSP10_32,Alniphyllum fortunei,Alniphyllum fortunei,,,,no tag,,,,,,,,7,,,3,,,,3,,,,no tag,,nn,nn,nm,,11,,11,d,80,5,3,,,,,,broken parts,,,,,,,no
