Samplenr,Seedlingnr,Plot,Record,Date,Planted_Species,Density,Treatment,Dead,Height_P,Height_G,Leaves_Liv,Leaves_Dam,Leaves_Dead,Damage_pro,Biomass_Above,Biomass_Below
6.1.2,6.1,6,2,September_2015,C.sclerophylla,25,Light,0,4,7.3,3,0,2,100,,
6.11.3,6.11,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.11.1,6.11,6,1,August_2015,C.sclerophylla,25,Light,0,,1.5,1,,,,,
6.11.0,6.11,6,0,July_2015,C.sclerophylla,25,Light,0,3.5,,5,,,,,
6.11.2,6.11,6,2,September_2015,C.sclerophylla,25,Light,0,5.3,5.5,1,1,0,50,,
6.12.0,6.12,6,0,July_2015,C.sclerophylla,25,Light,0,2.4,,3,,,,,
6.12.3,6.12,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.12.2,6.12,6,2,September_2015,C.sclerophylla,25,Light,1,0,,0,0,2,,,
6.12.1,6.12,6,1,August_2015,C.sclerophylla,25,Light,1,,,,,,,,
6.13.0,6.13,6,0,July_2015,C.sclerophylla,25,Light,0,4.1,,4,,,,,
6.13.1,6.13,6,1,August_2015,C.sclerophylla,25,Light,0,,3.2,1,,,,,
6.13.2,6.13,6,2,September_2015,C.sclerophylla,25,Light,0,5.7,5.7,16,2,0,20,,
6.13.3,6.13,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.14.0,6.14,6,0,July_2015,C.sclerophylla,25,Light,0,2,,4,,,,,
6.14.2,6.14,6,2,September_2015,C.sclerophylla,25,Light,1,0,,0,0,2,,,
6.14.3,6.14,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.14.1,6.14,6,1,August_2015,C.sclerophylla,25,Light,1,,,,,,,,
6.15.0,6.15,6,0,July_2015,C.sclerophylla,25,Light,0,4.4,,3,,,,,
6.15.2,6.15,6,2,September_2015,C.sclerophylla,25,Light,0,4,7.3,9,1,1,80,,
6.15.1,6.15,6,1,August_2015,C.sclerophylla,25,Light,0,,2.6,1,,,,,
6.15.3,6.15,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.16.0,6.16,6,0,July_2015,C.sclerophylla,25,Light,0,4.5,,3,,,,,
6.16.2,6.16,6,2,September_2015,C.sclerophylla,25,Light,0,4.5,4.5,1,1,0,30,,
6.16.3,6.16,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.16.1,6.16,6,1,August_2015,C.sclerophylla,25,Light,0,,3.8,0,,,,,
6.17.0,6.17,6,0,July_2015,C.sclerophylla,25,Light,0,3.7,,2,,,,,
6.17.1,6.17,6,1,August_2015,C.sclerophylla,25,Light,1,,,,,,,,
6.17.2,6.17,6,2,September_2015,C.sclerophylla,25,Light,1,0,,0,0,1,,,
6.17.3,6.17,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.18.0,6.18,6,0,July_2015,C.sclerophylla,25,Light,0,3.3,,5,,,,,
6.18.2,6.18,6,2,September_2015,C.sclerophylla,25,Light,1,0,,0,0,1,,,
6.18.3,6.18,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.18.1,6.18,6,1,August_2015,C.sclerophylla,25,Light,0,,3.1,4,,,,,
6.19.0,6.19,6,0,July_2015,C.sclerophylla,25,Light,0,3.5,,2,,,,,
6.19.2,6.19,6,2,September_2015,C.sclerophylla,25,Light,1,0,,0,0,1,,,
6.19.1,6.19,6,1,August_2015,C.sclerophylla,25,Light,0,,2.2,1,,,,,
6.19.3,6.19,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.2.0,6.2,6,0,July_2015,C.sclerophylla,25,Light,0,7.7,,5,,,,,
6.2.2,6.2,6,2,September_2015,C.sclerophylla,25,Light,0,5.5,8,7,0,1,90,,
6.2.3,6.2,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,,
6.2.1,6.2,6,1,August_2015,C.sclerophylla,25,Light,0,,5.6,0,,,,,
6.21.2,6.21,6,2,September_2015,C.sclerophylla,25,Light,0,4.5,5,4,1,0,0.1,,
6.21.0,6.21,6,0,July_2015,C.sclerophylla,25,Light,0,4.3,,4,,,,,
6.21.1,6.21,6,1,August_2015,C.sclerophylla,25,Light,0,,4.2,0,,,,,
6.21.3,6.21,6,3,September_2016,C.sclerophylla,25,Light,0,8,,2,2,,10,0.28,0.16
6.22.3,6.22,6,3,September_2016,C.sclerophylla,25,Light,1,,,,,,,1.3,0.6
6.22.0,6.22,6,0,July_2015,C.sclerophylla,25,Light,0,3.6,,2,,,,,
6.22.1,6.22,6,1,August_2015,C.sclerophylla,25,Light,1,,,,,,,,
6.22.2,6.22,6,2,September_2015,C.sclerophylla,25,Light,0,6.7,6.7,7,4,1,60,,
6.23.3,6.23,6,3,September_2016,C.sclerophylla,25,Light,0,21,,5,5,,5,0.7,0.27
