value,count,red,green,blue,opacity
50,115281.000000,0.388235294118,0.309803921569,0.329411764706,1.00000000000
51,326038.000000,0.419607843137,0.309803921569,0.298039215686,1.00000000000
52,20320.0000000,0.517647058824,0.427450980392,0.407843137255,1.00000000000
53,2561.00000000,0.529411764706,0.439215686275,0.419607843137,1.00000000000
54,28.0000000000,0.549019607843,0.447058823529,0.439215686275,1.00000000000
55,9033.00000000,0.549019607843,0.447058823529,0.439215686275,1.00000000000
56,75052.0000000,0.549019607843,0.458823529412,0.439215686275,1.00000000000
57,10245.0000000,0.549019607843,0.458823529412,0.439215686275,1.00000000000
58,717.000000000,0.549019607843,0.458823529412,0.439215686275,1.00000000000
59,195.000000000,0.549019607843,0.458823529412,0.439215686275,1.00000000000
60,263.000000000,0.549019607843,0.458823529412,0.439215686275,1.00000000000
61,26867.0000000,0.549019607843,0.466666666667,0.439215686275,1.00000000000
62,52195.0000000,0.556862745098,0.466666666667,0.447058823529,1.00000000000
63,70202.0000000,0.588235294118,0.509803921569,0.478431372549,1.00000000000
64,55095.0000000,0.600000000000,0.517647058824,0.486274509804,1.00000000000
65,15072.0000000,0.600000000000,0.529411764706,0.498039215686,1.00000000000
66,79908.0000000,0.600000000000,0.529411764706,0.498039215686,1.00000000000
67,218075.000000,0.619607843137,0.549019607843,0.509803921569,1.00000000000
68,178880.000000,0.686274509804,0.619607843137,0.576470588235,1.00000000000
69,5.00000000000,0.756862745098,0.698039215686,0.647058823529,1.00000000000
70,30.0000000000,0.756862745098,0.698039215686,0.658823529412,1.00000000000
71,88184.0000000,0.756862745098,0.698039215686,0.658823529412,1.00000000000
72,193369.000000,0.756862745098,0.698039215686,0.658823529412,1.00000000000
73,306682.000000,0.756862745098,0.698039215686,0.658823529412,1.00000000000
74,350.000000000,0.776470588235,0.717647058824,0.678431372549,1.00000000000
75,1.00000000000,0.776470588235,0.729411764706,0.678431372549,1.00000000000
76,10544.0000000,0.776470588235,0.729411764706,0.678431372549,1.00000000000
77,95572.0000000,0.647058823529,0.568627450980,0.486274509804,1.00000000000
78,145926.000000,0.956862745098,0.956862745098,0.858823529412,1.00000000000
79,515425.000000,0.949019607843,0.937254901961,0.839215686275,1.00000000000
80,19929.0000000,0.949019607843,0.917647058824,0.819607843137,1.00000000000
81,863.000000000,0.937254901961,0.898039215686,0.807843137255,1.00000000000
82,2412.00000000,0.929411764706,0.866666666667,0.788235294118,1.00000000000
83,163695.000000,0.819607843137,0.709803921569,0.549019607843,1.00000000000
84,198050.000000,0.909803921569,0.827450980392,0.749019607843,1.00000000000
85,724676.000000,0.898039215686,0.807843137255,0.729411764706,1.00000000000
86,47060.0000000,0.886274509804,0.788235294118,0.709803921569,1.00000000000
87,1634.00000000,0.886274509804,0.768627450980,0.686274509804,1.00000000000
88,467.000000000,0.866666666667,0.749019607843,0.666666666667,1.00000000000
89,235263.000000,0.749019607843,0.478431372549,0.349019607843,1.00000000000
90,459694.000000,0.800000000000,0.600000000000,0.486274509804,1.00000000000
91,895410.000000,0.847058823529,0.678431372549,0.619607843137,1.00000000000
92,65114.0000000,0.839215686275,0.658823529412,0.600000000000,1.00000000000
93,20050.0000000,0.839215686275,0.639215686275,0.576470588235,1.00000000000
94,11.0000000000,0.819607843137,0.619607843137,0.556862745098,1.00000000000
95,558035.000000,0.819607843137,0.600000000000,0.537254901961,1.00000000000
96,615487.000000,0.839215686275,0.309803921569,0.317647058824,1.00000000000
97,755727.000000,0.800000000000,0.549019607843,0.509803921569,1.00000000000
98,7562.00000000,0.819607843137,0.639215686275,0.737254901961,1.00000000000
99,1716.00000000,0.776470588235,0.509803921569,0.466666666667,1.00000000000
100,54159.0000000,0.768627450980,0.486274509804,0.447058823529,1.00000000000
101,206184.000000,0.756862745098,0.466666666667,0.427450980392,1.00000000000
102,123319.000000,0.756862745098,0.439215686275,0.407843137255,1.00000000000
103,13599.0000000,0.486274509804,0.227450980392,0.200000000000,1.00000000000
104,4331.00000000,0.737254901961,0.400000000000,0.368627450980,1.00000000000
105,50.0000000000,0.729411764706,0.376470588235,0.349019607843,1.00000000000
106,32892.0000000,0.717647058824,0.356862745098,0.329411764706,1.00000000000
107,136980.000000,0.709803921569,0.337254901961,0.309803921569,1.00000000000
108,19747.0000000,0.709803921569,0.309803921569,0.298039215686,1.00000000000
109,674.000000000,0.698039215686,0.286274509804,0.278431372549,1.00000000000
110,7.00000000000,0.686274509804,0.266666666667,0.258823529412,1.00000000000
111,18.0000000000,0.678431372549,0.247058823529,0.239215686275,1.00000000000
112,29468.0000000,0.666666666667,0.227450980392,0.219607843137,1.00000000000
113,10359.0000000,0.658823529412,0.207843137255,0.200000000000,1.00000000000
114,266.000000000,0.647058823529,0.176470588235,0.176470588235,1.00000000000
115,2.00000000000,0.647058823529,0.156862745098,0.156862745098,1.00000000000
116,7.00000000000,0.949019607843,0.866666666667,0.819607843137,1.00000000000
117,13.0000000000,0.866666666667,0.698039215686,0.709803921569,1.00000000000
118,48.0000000000,0.807843137255,0.658823529412,0.627450980392,1.00000000000
119,0.00000000000,0.768627450980,0.607843137255,0.576470588235,1.00000000000
120,14231.0000000,0.556862745098,0.168627450980,0.200000000000,1.00000000000
121,10792.0000000,0.756862745098,0.588235294118,0.556862745098,1.00000000000
122,85.0000000000,0.749019607843,0.556862745098,0.529411764706,1.00000000000
123,105.000000000,0.737254901961,0.556862745098,0.529411764706,1.00000000000
124,101.000000000,0.729411764706,0.549019607843,0.517647058824,1.00000000000
125,43.0000000000,0.729411764706,0.549019607843,0.517647058824,1.00000000000
126,55.0000000000,0.839215686275,0.576470588235,0.529411764706,1.00000000000
127,28.0000000000,0.878431372549,0.847058823529,0.749019607843,1.00000000000
