CSP,target_group,fct_gr,species,silverID,dbh_08,tot_hi,bifurcat,st_incl,stem_azi,stem_azi_grad,stem_azi_rad,mean_rad,cr_a,ad,CI_BD,CI_H,CI_ME,n_neigh,area_neigh,neigh_a,loc_asp,loc_asp_grad,loc_incl,n_sp_neigh,rat_e,age_pl,incl_pl,rare_s,rare_s_se,shannon,rare_fg,rare_fg_se,rd,can_hi,mean_can_hi
CSP13,CSP_13Ss,e,Schima superba,372822,15.668789808917198,10.6,7.3,7.0998720619204665,230,207,3.6128315516282616,0.425,3.0779603128039303,3.277105232082247,1.8686946464516128,1.8910533166015127,1.5890843518643254,8,88.24733763933729,0.09065429296797171,210,189,25,4,1,5,25,1.89285714285714,0.309294787065872,1.149,1.42857142857143,0.494871659305394,0.9638544800241903,12.1,14.63
CSP14,CSP_14Ce,e,Castanopsis eyrei,369370,55.8,15.4,3.6,18.073034170314845,190,171,2.9845130209103035,4.1,58.87505171531469,3.4355638402408446,8.10377660750742,2.9124834601278047,5.8729079666219395,14,346.3605900582747,0.040420303007465484,230,207,28,7,0.8888888888888888,5,28,1.80769230769231,0.394113490998445,1.789,1.67948717948718,0.466673710851316,0.8379424000587427,26.03333333333333,18.766666666666666
CSP14,CSP_14Ch,d,Castanea henryi,,20.3,13.6,9.3,21.229328916123684,210,189,3.2986722862692828,1.75,5.72,5.000543093870761,2.0890343833325606,2.206943692702438,2.3833936373219498,12,132.73228961416876,0.09040754163799972,230,207,28,5,0.6666666666666666,5,28,1.85714285714286,0.349927106111917,1.479,1.61904761904762,0.485620906056461,2.8574531964975773,18.166666666666668,23.68
CSP14,CSP_14Ss,e,Schima superba,369222,41.210191082802545,15.6,10,4.593465938673961,200,180,3.141592653589793,3.425,31.282207254647822,0.024982126756529718,12.346905189196256,3.7748834874860377,6.563206005107877,11,181.45839167134645,0.060619957548852105,205,184.5,28,5,0.8,5,28,1.75757575757576,0.42854956435547,1.474,1.62121212121212,0.485085169502488,0.007294051607745903,26.85,23.68
CSP15,CSP_15Ce,e,Castanopsis eyrei,375845,33.9,17.2,4.9,7.051085757886564,290,261,4.5553093477052,2.7375,33.87910282777461,1.1866107880709995,7.5898582742147545,3.5420546149003544,4.867537105404268,11,221.6707776372958,0.049623139852915214,270,243,27,6,0.8181818181818182,5,44,1.86666666666667,0.339934634239512,1.35,1.35555555555556,0.478681316189734,0.4334651280624655,23.6,25.225
CSP15,CSP_15Qs,d,Quercus serrata,375202,18.2,16.3,10.3,21.515503114697466,260,234,4.084070449666731,0.8,1.1,4.799926974874887,0.28791657888980754,1.2185565053294707,1.3001028809722133,9,120.76282160399167,0.07452624806592392,250,225,43,5,0.8888888888888888,5,44,1.68181818181818,0.465770489361786,1.643,1.45454545454545,0.497929597731965,5.999908718593608,20.2,21.9
CSP16,CSP_16Ce,e,Castanopsis eyrei,370121,9.35,9.4,4.4,6.5390550554611755,220,198,3.455751918948773,1.2375,4.497241003471396,0.07139075584366403,21.812393155147845,4.541699355277269,6.860608760880593,12,81.71282491987051,0.14685577217245246,250,225,28,5,0.6666666666666666,1,28,1.80769230769231,0.394113490998449,1.458,1.6025641025641,0.489367555999805,0.057689499671647694,9.133333333333335,13.094444444444443
CSP16,CSP_16Qs,d,Quercus serrata,370676,8.25,6.5,2.6,18.207733342835702,250,225,3.9269908169872414,0.5875,2.2082189719444765,1.841262921242749,2.5126377997149225,2.8508466203295972,1.0428845783441019,7,32.169908772759484,0.21759464875845064,250,225,28,5,0.6666666666666666,1,28,1.89285714285714,0.309294787065861,1.667,1.78571428571429,0.410325903324145,0.3917580683495211,14.6,13.09
CSP16,CSP_16Ss,e,Schima superba,376900,11.050955414012739,9.4,3.3,5.223103878292325,160,144,2.5132741228718345,1.7875,9.383365366804968,0.08666681230010989,9.488266679527113,5.443596540273673,2.6663304479374563,10,69.39778171779854,0.14409682489080608,220,198,40,7,0.7777777777777778,1,28,1.92727272727273,0.259688306492488,1.894,1.74545454545455,0.435605401844036,0.04848492995810343,15.55,13.09
CSP17,CSP_17Ce,e,Castanopsis eyrei,377994,15.254777070063692,8,4,14.630014418727331,280,252,4.39822971502571,1.4125,7.064072200999813,0.24019222390604697,8.0994291335815,9.129938638483754,4.584942090480385,10,43.008403427644275,0.23251269991511367,270,243,39,7,0.8888888888888888,2,35,1.84444444444444,0.362433476228888,1.846,1.6,0.489897948556635,0.17004759214587395,9.35,13.166666666666666
CSP17,CSP_17Qs,d,Quercus serrata,370861,6.25,4.9,2.2,24.84063156654056,170,153,2.670353755551324,0.75,3.1797102699065634,1.2395039517063728,2.6625603416227337,1.9611025574125263,0.28101154425023644,5,18.09557368467721,0.27631066509009605,150,135,46,5,1,2,35,1.90909090909091,0.287479787288051,1.792,1.49090909090909,0.499917348540639,1.6526719356084971,7.2,8.1
CSP17,CSP_17Ss,e,Schima superba,377088,7.85,6.8,4.1,35.99948004535888,180,162,2.827433388230814,0.2125,1.0591704525163363,3.637532749330279,6.73663962386315,4.682841120044168,1.5097089608837049,9,28.274333882308138,0.3183098861837907,160,144,44,4,0.625,2,35,2,NA,1.505,1.6,0.489897948556635,2.1397251466648703,7.75,8.1
CSP18,CSP_18Ce,e,Castanopsis eyrei,369118,12.7,10.7,7,5.7487532493253894,380,342,5.969026041820607,1.8375,9.623646512216462,0.08150081104706315,5.061825826699932,1.8545590979911515,1.6514001912177525,10,72.38229473870884,0.13815533254504803,370,333,36,4,0.7777777777777778,3,40,1.92857142857143,0.257539376818848,1.414,1.75,0.43301270189222,0.04435418288275545,18.35,14.616666666666667
CSP18,CSP_18Qs,d,Quercus serrata,370963,29.2,11.6,3.6,8.009313723047452,30,27,0.47123889803846897,1.9125,14.770809121385527,1.7092950455695035,3.4692355163302038,2.7516302195551905,3.4062057187046006,7,102.07034531513239,0.06858015399466096,30,27,45,6,0.7142857142857143,3,40,1.78181818181818,0.413011516058207,1.733,1.58181818181818,0.493260362409111,0.8937490434350345,17.75,18.37
CSP18,CSP_18Ss,e,Schima superba,369138,23.757961783439487,13.4,6,11.614429499593987,380,342,5.969026041820607,2.35,11.025,2.9320546455420033,12.55196189356242,3.6237435198229817,3.5928721990050967,13,124.68981242097888,0.10425871807481177,380,342,45,10,0.5714285714285714,3,40,1.94505494505494,0.227872981904675,2.206,1.78021978021978,0.41409766332784,1.2476828278902141,19,18.37
CSP19,CSP_19Qs,d,Quercus serrata,370649,6,5.2,1.6,7.199508999894951,350,315,5.497787143782138,0.8625,2.3370088423777338,0.09566899641684191,9.807526611299272,5.2702403529616895,0.6836234000469975,10,24.630086404143974,0.4060075078874882,350,315,39,3,0,1,38,1.69090909090909,0.462118728259595,1.036,1.32727272727273,0.469217741838689,0.11092057555575874,7.5,7.5
CSP20,CSP_20Qs,d,Quercus serrata,371925,6.725,9.8,3.6,8.009313723047452,280,252,4.39822971502571,1.6,7.137697602550952,0.025733079603600377,21.61860417479437,5.616126720618012,0.8373915554409503,12,50.26548245743669,0.238732414637843,270,243,20,7,0.23076923076923078,1,20,1.7948717948718,0.403795275590362,1.631,1.74358974358974,0.436650932459649,0.016083174752250233,10.333333333333334,10.33
CSP21,CSP_21Ce,e,Castanopsis eyrei,375474,38.6,15.1,2.1,13.905617499450347,120,108,1.8849555921538759,3.4,36.39140105063565,1.9631019898100157,14.167172241753034,3.9905253710849977,5.954254004611537,8,191.134497044403,0.0418553433509258,70,63,40,6,0.8888888888888888,5,40,2,1.05367121277235e-08,1.303,2,1.05367121277235e-08,0.5773829381794164,15.3,12.758333333333335
