id,site,PTAG,PR,NR,species,branchNR,WD,LA,SLA,CHL,LN,LP,LC,SD,SA,O1_D,O1_SRL,BA13,BA14,BA15,BA16,BA17,BA18
ind256,A,p119100,8,4,SP7,2,NA,16.121,110.218,47,16.44,1.12,452.31,511,122.6916629,0.22,62.5,0.950331778,1.130973355,1.130973355,1.327322896,1.5393804,1.767145868
ind257,A,p119100,8,5,SP27,6,0.539,14.198,222.208,43.1,22.23,1.18,438.22,1035,96.4207517,0.217,76.254,5.939573611,5.309291585,5.309291585,5.309291585,NA,
ind258,A,p119100,8,4,SP16,17,0.491,13.28,483.791,42.5,18.89,0.95,412.22,842,80.84116491,0.237,18.585,13.52651987,29.22466566,26.42079422,25.96722678,24.6300864,32.16990877
ind259,A,p119100,8,5,SP4,19,0.532,18.13,101.298,45.3,24.82,0.85,454.38,577,196.7328921,0.23,72.785,29.70572204,52.16810951,76.97687399,96.76890771,103.8689071,143.1388153
ind26,A,p106270,4,4,SP8,15,0.369,17.789,146.069,55.8,18.83,0.69,453.28,289,73.21096834,0.465,56.489,95.89907925,118.8228881,151.7467792,158.3676857,251.6494255,251.6494255
ind260,A,p119100,8,5,SP31,1,NA,14.164,213.578,40,25.58,1.44,406.4,270,109.2463917,0.253,25.813,3.63050301,4.714352476,4.337361357,NA,NA,
ind261,A,p119100,8,6,SP29,9,0.439,10.815,174.076,40.6,27.51,1.51,419.74,829,57.8716749,0.253,28.764,21.23716634,41.28249096,51.5299735,56.07939236,70.88218425,70.88218425
ind262,A,p119100,8,5,SP23,15,0.434,26.121,214.267,45.7,20.8,1.07,424.57,250,208.943098,0.245,52.534,15.20530844,16.98227179,15.90431281,15.55284713,15.90431281,17.72054606
ind263,A,p119100,8,6,SP27,2,NA,6.701,86.325,40,20.73,0.94,435.07,857,72.40158333,NA,NA,0.785398163,0.785398163,1.327322896,1.130973355,1.327322896,
ind264,A,p119100,8,6,SP16,47,0.515,16.916,172.467,37.4,17.57,0.89,432.02,780,37.99329922,0.251,49.009,62.21138852,86.59014751,106.5962022,119.7908914,172.0336137,224.3175694
ind265,A,p119100,8,6,SP4,7,0.521,20.102,213.369,41.7,23.68,0.94,424.57,771,61.9776666,0.23,64.783,20.42820623,44.17864669,54.10607948,62.91235638,73.89811319,109.3588403
ind266,A,p119100,8,6,SP23,11,0.42,29.293,195.415,47,18.22,0.89,433.37,242,130.3389348,0.307,16.743,28.74753628,36.85284532,42.42917228,42.42917228,41.85386813,41.28249096
ind267,A,p119100,8,5,SP4,12,0.476,21.48,140.515,40.1,20.46,0.73,440.01,501,158.0230624,0.225,31.969,41.28249096,73.89811319,107.5131546,118.8228881,229.658277,292.5529619
ind268,A,p119100,8,5,SP27,6,0.558,16.294,202.263,41,21.62,0.93,430.79,837,76.28460992,0.248,62.229,5.515458602,6.834927517,6.834927517,6.834927517,7.068583471,7.54767635
ind269,A,p120150,8,5,SP9,8,0.572,10.682,55.193,39.4,15.58,0.54,459.08,626,80.85840911,0.246,47.489,3.141592654,10.75210086,8.552985999,11.34114948,17.34944543,24.6300864
ind27,A,p106270,4,NA,SP7,10,0.53,10.459,73.403,50.8,16.78,0.58,462.93,530,140.0682509,0.411,85.678,NA,NA,NA,NA,NA,
ind270,A,p120150,8,3,SP17,8,0.553,10.672,59.333,38.8,14.54,0.51,479.58,NA,NA,0.239,26.843,1.327322896,3.463605901,5.939573611,5.107051557,7.068583471,16.61902514
ind271,A,p120150,8,5,SP25,6,0.581,10.721,59.795,36.5,18.22,0.83,446.37,NA,NA,0.211,54.397,1.5393804,2.544690049,2.010619298,1.327322896,1.767145868,2.010619298
ind272,A,p120150,8,5,SP5,4,NA,5.777,45.05,34.7,15.04,0.72,453.27,641,153.3208364,0.302,15.825,1.130973355,2.010619298,2.010619298,1.767145868,1.767145868,2.010619298
ind273,A,p120150,8,5,SP30,29,0.462,18.086,82.442,44.6,15.47,0.52,477.98,342,269.0867225,0.207,51.116,28.27433388,56.74501731,93.31315579,109.3588403,153.93804,246.0573906
ind274,A,p120150,8,6,SP28,13,0.44,12.9,104.877,36.7,15.07,0.67,491.65,NA,NA,0.258,33.848,16.61902514,18.09557368,21.64753688,NA,NA,
ind275,A,p120150,8,5,SP10,14,0.548,11.412,98.798,41.7,19.88,0.83,444.61,891,97.15543671,0.2,98.921,6.605198554,13.52651987,25.07187287,26.42079422,34.211944,50.26548246
ind276,A,p120150,8,7,SP25,5,0.587,10.333,81.307,44.1,20.63,0.76,458.55,NA,NA,0.225,45.196,1.327322896,2.010619298,2.010619298,2.010619298,2.83528737,3.141592654
ind277,A,p120150,8,5,SP30,31,0.499,19.359,89.701,45.4,17.23,0.59,435.07,424,83.3267239,0.21,42.899,44.76965881,73.89811319,115.9424404,129.6869082,240.5281875,314.1592654
ind278,A,p120150,8,5,SP28,6,0.38,NA,NA,NA,13.55,0.62,469.83,NA,NA,0.217,38.981,7.793113276,NA,NA,NA,NA,
ind279,A,p120150,8,5,SP9,15,0.504,16.824,85.283,43.8,21.38,0.92,456.63,615,64.39822604,0.223,55.565,6.834927517,15.90431281,16.61902514,19.2442185,19.63495408,35.25652355
