objectid,tree_id,address,species,com_name,dbh,height,condition,land_type,park_name,x,y
1416,20318,100 E 15TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),6,9,Fair,ROW,,3115455.99419,10073896.4778
1417,20319,100 E 15TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),6,9,Fair,ROW,,3115473.62998,10073892.1477
1418,20320,100 E 15TH ST,Lagerstroemia indica (and hybrids),Crape Myrtle (including hybrids),6,9,Fair,ROW,,3115474.03024,10073895.8488
1419,20321,100 E 15TH ST,Quercus fusiformis,Escarpment Live Oak,26,35,Fair,ROW,,3115541.36082,10073871.9627
1420,20322,100 E 15TH ST,Carya illinoinensis,Pecan,24,35,Fair,ROW,,3115642.81731,10073841.1760
1421,20323,1400 BRAZOS ST,Quercus fusiformis,Escarpment Live Oak,34,32,Fair,ROW,,3115644.91638,10073793.5964
1422,20324,1400 BRAZOS ST,Stump,Stump,28,1,Stump,ROW,,3115579.14453,10073580.8878
1423,20325,100 W 15TH ST,Platanus occidentalis,American Sycamore,19,36,Fair,ROW,,3115186.61284,10074062.9807
1424,20326,100 W 15TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3115140.43281,10074075.5755
1425,20327,100 W 15TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3115115.94336,10074083.2720
1426,20328,100 W 15TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3115092.85318,10074089.5696
1427,20329,100 W 15TH ST,Quercus virginiana,Southern Live Oak,19,35,Fair,ROW,,3115053.67019,10074109.8609
1428,20330,100 W 15TH ST,Quercus virginiana,Southern Live Oak,16,35,Fair,ROW,,3114971.80520,10074137.1489
1429,20331,100 W 15TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3115118.04244,10074041.2901
1430,20332,100 W 15TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3115096.35187,10074046.1881
1431,20333,100 W 15TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3115077.45984,10074051.7858
1432,20334,100 W 15TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3115059.26762,10074057.3833
1433,20335,100 W 15TH ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3115036.87725,10074063.6805
1434,20336,1400 COLORADO ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3114796.18055,10073806.8907
1435,20337,1400 COLORADO ST,Vacant Planting Site - Medium,Vacant Planting Site - Medium,0,0,NA,ROW,,3114799.67890,10073829.2810
1436,2922,1200 SABINE ST,Quercus virginiana,Southern Live Oak,15,18,Fair,ROW,,3117122.89079,10072501.1482
1437,2923,1200 SABINE ST,Quercus macrocarpa,Bur Oak,5,15,Good,ROW,,3117122.89079,10072314.4445
1438,2924,1200 SABINE ST,Quercus macrocarpa,Bur Oak,6,15,Good,ROW,,3117131.64241,10072338.7551
1439,2925,1200 SABINE ST,Quercus macrocarpa,Bur Oak,5,15,Good,ROW,,3117139.42160,10072362.0930
1440,2926,1200 SABINE ST,Quercus macrocarpa,Bur Oak,5,15,Good,ROW,,3117143.31135,10072386.4033
1441,2927,1200 SABINE ST,Quercus fusiformis,Escarpment Live Oak,32,35,Poor,ROW,,3117148.13746,10072593.7573
1442,2928,1313 RED RIVER ST,Carya illinoinensis,Pecan,28,38,Fair,COA,,3117145.97080,10072633.1755
