TAG,PTAG,ALTITUDE,SLOPE,SpeciesCode,PSI50,SAWP,NCI,nb_count,nb_richness,nb_mix,SPEI_12_Oct,Initial_year
t124130010911,p124130,247.83,39.42,11,-5.094034031,2.0205598961523727,0.20903225807670534,8,1,11_14,-0.29015,2012
t124130010911,p124130,247.83,39.42,11,-5.094034031,2.2295804850018746,0.19109453825257594,6,1,11_14,0.67536,2013
t124130010911,p124130,247.83,39.42,11,-5.094034031,0.8919874895842688,0.20758928573665975,6,1,11_14,1.58454,2014
t124130010911,p124130,247.83,39.42,11,-5.094034031,1.2360188374853154,0.14791331143334838,6,1,11_14,1.38172,2015
t124130010910,p124130,247.87,38.96,11,-5.094034031,4.180440259616089,0.07142857240298946,6,1,11_14,-1.51947,2010
t124130010910,p124130,247.87,38.96,11,-5.094034031,3.2184510567565456,0.12405063290731216,7,1,11_14,1.44876,2011
t124130010910,p124130,247.87,38.96,11,-5.094034031,2.393944840942418,0.13013302484950837,8,1,11_14,-0.29015,2012
t124130010910,p124130,247.87,38.96,11,-5.094034031,2.837441732596575,0.11902888172836106,7,1,11_14,0.67536,2013
t124130010910,p124130,247.87,38.96,11,-5.094034031,2.095978319741959,0.14745184770526218,6,1,11_14,1.58454,2014
t124130010910,p124130,247.87,38.96,11,-5.094034031,2.448167956722526,0.19473547761161572,6,1,11_14,1.38172,2015
t124130010909,p124130,247.91,38.51,11,-5.094034031,8.12991695750457,0.16981132129864274,6,1,11_14,-1.51947,2010
t124130010909,p124130,247.91,38.51,11,-5.094034031,1.5660692933069837,0.2525252524018389,7,1,11_14,1.44876,2011
t124130010909,p124130,247.91,38.51,11,-5.094034031,2.8291522037933534,0.16513761460805043,8,1,11_14,-0.29015,2012
t124130010909,p124130,247.91,38.51,11,-5.094034031,1.7196548794848674,0.25541044782306205,7,1,11_14,0.67536,2013
t124130010909,p124130,247.91,38.51,11,-5.094034031,1.5566456678244138,0.27428752207842216,6,1,11_14,1.58454,2014
t124130010909,p124130,247.91,38.51,11,-5.094034031,1.7086365632355787,0.24171624681083043,6,1,11_14,1.38172,2015
t124130010809,p124130,246.18,43.09,14,-4.389755639,1.2441236562882187,0.290322581440108,6,1,11_14,-1.51947,2010
t124130010809,p124130,246.18,43.09,14,-4.389755639,6.672640374483019,0.164383561731442,5,1,11_14,1.44876,2011
t124130010809,p124130,246.18,43.09,14,-4.389755639,3.154163069923875,0.198763250915784,7,1,11_14,-0.29015,2012
t124130010809,p124130,246.18,43.09,14,-4.389755639,1.8718920967827526,0.18691750085961395,6,1,11_14,0.67536,2013
