objectid,hab_code,hab_type,mega_id,mega,ind_id,ind,sed_id,sed,mes_mac_id,mes_mac,mod_id,mod,hab_desc,shape_area
282,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",844.256524109
283,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",2506.46481407
284,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,95.3094790995
285,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,105.700244454
286,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,121.667340569
287,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,127.403306646
288,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",53.9309238382
289,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",204.833766799
290,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",423.394226927
291,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,375.925080009
292,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,60.6455121928
293,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,172.674403616
294,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,1338.96801286
295,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,1694.25272512
296,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,1543.83626390
297,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,143.509866829
298,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,358.423853810
299,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,362.306356848
300,Shd_c/d/f,Fractured sedimentary rock,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d/f,consolidated/differentially eroded/fractured,"Faulted, fractured, differentially eroded, and deformed sedimentary bedrock on continental shelf",530.223648565
301,Shd_c/d/f,Fractured sedimentary rock,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d/f,consolidated/differentially eroded/fractured,"Faulted, fractured, differentially eroded, and deformed sedimentary bedrock on continental shelf",1062.66871641
302,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,60.3664599932
303,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,62.1379696438
304,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,485.547170358
305,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,443.128214802
306,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,3065.64094407
307,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",2859.46095895
308,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,9103.96104024
309,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,9117.71635185
310,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,51362.0139799
311,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,72461.0269902
312,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",122104.932826
313,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,14456.3721821
314,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,392.841170967
315,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,1086.75274068
316,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,3186.88972239
317,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,169.977824979
318,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",3782.70103410
319,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,64210.5164553
320,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",52441.7474643
321,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,357.022849761
322,Sh(b)/p_c,Boulder or pinnacle,S,Continental Shelf,h,hard,b,boulder,p,pinnacle,c,consolidated,Boulder or pinnacle of hard sedimentary rock on continental shelf,376.345238320
323,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,807.433888428
324,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,1637.82796569
325,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,2017.23618075
326,Ss(s/g)h/w_r/s/u,Rippled scour depressions (sand/gravel),S,Continental Shelf,s,soft,s/g,sand/gravel,h/w,depression/dynamic bedforms,r/s/u,rippled/scoured/unconsolidated,Rippled scour depressions (sand/gravel),4343.67845597
327,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,31553.3505012
328,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",85970.5353859
329,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,49184.0330919
330,Sme_c/u,Sediment covered sedimentary bedrock,S,Continental Shelf,m,mixed,,,e,bedrock outcrop,c/u,consolidated/unconsolidated,"Mixed habitat of soft, unconsolidated sediment locally covering hard, consolidated sedimentary bedrock",35730.7905943
331,Shd_c/d,Deformed and differentially eroded sedimentary bedrock outcrop,S,Continental Shelf,h,hard,,,d,"deformed, tilted and folded bedrock, overhangs",c/d,consolidated/differentially eroded,Deformed and differentially eroded sedimentary bedrock outcrop,2313.51153364
