date_and_time_of_initial_call,date_and_time_of_ranger_response,borough,property,location,species_description,call_source,species_status,animal_condition,duration_of_response,age,animal_class,311sr_number,final_ranger_action,of_animals,pep_response,animal_monitored,rehabilitator,hours_spent_monitoring,police_response,esu_response,acc_intake_number
2018-07-26T08:15:00,2018-07-26T09:00:00,Manhattan,Central Park,Ramble,raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-25T14:49:00,2018-07-25T15:00:00,Manhattan,Tompkins Square Park,,Red Tailed Hawk,Public,Native,Unhealthy,3,Juvenile,Raptors,1-1-1594035222,Rehabilitator,1,false,false,Animal Medical Center Manhattan,,false,false,
2018-07-20T16:00:00,2018-07-20T16:30:00,Manhattan,Inwood Hill Park,,Mallard duckling,Central,Native,Healthy,0.5,Infant,Birds,,Advised/Educated others,1,false,false,,,false,false,
2018-07-25T13:15:00,2018-07-25T13:33:00,Manhattan,Central Park,In the middle of the driveway behind the Lasker Rink where the parking lot is/ East Dr and E107th,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Adult,Small Mammals-RVS,1-1-1592372063,ACC,1,false,false,,,false,false,35796
2018-07-18T11:15:00,2018-07-18T11:20:00,Manhattan,Central Park,"Hecksher Ballfields - field #6 - west of Ballfields Cafe - between path and transverse",raccoon,"Conservancies/""Friends of"" Groups",Native,N/A,0.75,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-12T15:00:00,2018-07-12T15:25:00,Manhattan,Central Park,Sheep Meadow,Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,1,Juvenile,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,true,,1,false,false,
2018-07-18T10:18:00,2018-07-18T11:00:00,Manhattan,Central Park,Lasker Rink - parking lot - placed in bucket by CPC,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Infant,Small Mammals-RVS,1-1-1589216055,ACC,1,false,false,,,false,false,34937
2018-07-18T08:21:00,2018-07-18T10:16:00,Manhattan,Central Park,Conservatory Garden - 5th and 106th -  by Italian garden entrance nearest to lawn,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.5,Juvenile,Small Mammals-RVS,1-1-1589216055,ACC,1,false,false,,,false,false,34936
2018-07-18T08:21:00,2018-07-18T09:28:00,Manhattan,Central Park,Grand Army Plaza - 5th ave and 59th - between Moore Statue and 59th street pond along path,raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.75,Adult,Small Mammals-RVS,1-1-1589216055,ACC,1,false,false,,,false,false,34935
2018-07-21T11:30:00,2018-07-21T13:00:00,Manhattan,Battery Park City,,crow,Central,Native,Healthy,1,Adult,Birds,,Advised/Educated others,1,false,false,,,false,false,
2018-07-25T09:00:00,2018-07-25T09:15:00,Manhattan,Central Park,110th playground/ Harlem Meer,Raccoon,Public,Native,N/A,0.5,Juvenile,Small Mammals-RVS,1-11-594088217,Unfounded,1,false,false,,,false,false,
2018-07-25T08:35:00,2018-07-25T09:00:00,Manhattan,Central Park,Lasker Pool entrance inside Central Park/  East 110th Street and Lennox Ave,Raccoon,Employee,Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1592912090,ACC,1,false,false,,,false,false,43195
2018-07-24T16:40:00,2018-07-24T17:00:00,Queens,Brookville Park,,Raccoon,Central,Native,Healthy,2,Juvenile,Small Mammals-RVS,1-1-1593919394,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-24T17:15:00,2018-07-24T17:35:00,Manhattan,Central Park,Behind the Lasker Pool near Huddlestone Arch,Raccoon,Employee,Native,N/A,0.25,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-24T17:05:00,2018-07-24T17:18:00,Manhattan,Central Park,Dana Discovery Center,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,0.35,Juvenile,Small Mammals-RVS,,Monitored Animal,1,false,false,,,false,false,
2018-07-24T13:00:00,2018-07-24T15:00:00,Manhattan,Highbridge Recreation Center,,Blue Jay,Employee,Native,Healthy,1,Juvenile,Birds,,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-24T12:30:00,2018-07-24T15:15:00,Manhattan,Central Park,Waterfall behind Lasker Pool in the North Woods.,Raccoon,Public,Native,N/A,0.5,Adult,Small Mammals-RVS,,Unfounded,1,false,false,,,false,false,
2018-07-24T14:31:00,2018-07-24T14:31:00,Manhattan,Central Park,,Red-tailed Hawk,"Conservancies/""Friends of"" Groups",Native,Healthy,1,Juvenile,"Small Mammals-RVS;#Raptors",,Unfounded,,false,false,,,false,false,
2018-07-24T13:12:00,2018-07-24T13:30:00,Manhattan,Central Park,North Meadow Baseball Field,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1.5,Adult,Small Mammals-RVS,1-1-1591910384,ACC,1,false,false,,,false,false,35692
2018-07-24T13:30:00,2018-07-24T14:30:00,Manhattan,Central Park,In Harlem Meer,Raccoon,Observed by Ranger,Native,DOA,1,Adult,Small Mammals-RVS,n/a,Relocated/Condition Corrected,1,false,false,,,false,false,
2018-07-24T09:00:00,2018-07-24T09:15:00,Manhattan,Central Park,Dana Discovery Center (110th 5th Ave).,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Juvenile,Small Mammals-RVS,1-1-593662489,ACC,1,false,false,,,false,false,35649
2018-07-24T08:30:00,2018-07-24T09:57:00,Manhattan,Central Park,At the Conservatory Garden at East 102nd and 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,2,Adult,Small Mammals-RVS,1-1-1590959610,ACC,1,false,false,,,false,false,35650
2018-07-20T14:30:00,2018-07-20T15:30:00,Manhattan,Riverside Park,,Mallard duck,Public,Native,Injured,0.5,Adult,Birds,,Unfounded,1,false,false,,0.5,false,false,
2018-07-17T18:00:00,2018-07-23T11:13:00,Staten Island,Ocean Breeze Track & Field Athletic Complex,,Herring gull,Employee,Native,Injured,0.25,Adult,Birds,,Monitored Animal,,false,false,,,false,false,
2018-07-23T14:50:00,2018-07-23T15:00:00,Manhattan,Central Park,West 100th off the West Drive,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,1,Juvenile,Small Mammals-RVS,1-1-1593319220,ACC,1,false,false,,,false,false,35592
2018-07-17T11:40:00,2018-07-23T11:45:00,Manhattan,Central Park,"70th st, between West Drive and the bridle path",Raccoon,"Conservancies/""Friends of"" Groups",Native,Healthy,0.5,Infant,Small Mammals-RVS,,Relocated/Condition Corrected,1,false,true,,0.5,false,false,
2018-07-23T09:25:00,2018-07-23T09:45:00,Manhattan,Central Park,Near the Heckscher Baseball Field.Central Park West and West 63rd Street,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,3,Adult,Small Mammals-RVS,1-1-1592534182,ACC,1,false,false,,,false,false,35529
2018-07-23T08:30:00,2018-07-23T09:00:00,Manhattan,Central Park,Conservatory Gardens East 102nd near 5th Ave,Raccoon,"Conservancies/""Friends of"" Groups",Native,Unhealthy,3,Juvenile,Small Mammals-RVS,1-1-1592534181,ACC,1,false,false,,,false,false,35528
2018-07-22T14:30:00,2018-07-22T14:44:00,Staten Island,Franklin D. Roosevelt Boardwalk and Beach,,Double crested cormorant,Employee,Native,Unhealthy,1.75,Juvenile,Birds,1-1-1590964411,ACC,1,true,false,,,false,false,35484
2018-07-22T14:15:00,2018-07-22T15:00:00,Manhattan,Tompkins Square Park,,Red-tailed hawk,Central,Native,Healthy,0.5,Juvenile,Raptors,,Monitored Animal,,false,true,,0.5,false,false,
